model	model_structure	family	response	n	observed_mean	yrep_median_mean	mean_residual	rmse	mean_abs_std_residual	prop_outside_yrep90	prop_pp_twotail_lt_0.10	prop_pp_twotail_lt_0.05
base_k0_gamma	base_k0	gamma	befa.st	1132	1.44106132803971	1.37743024466418	0.063631083375534	0.323200758225282	0.756038167893371	0.0892226148409894	0.0874558303886926	0.0512367491166078
base_k0_lognormal	base_k0	lognormal	befa.st	1132	1.44106132803971	1.35395165683811	0.0871096712016069	0.327240665608739	0.627044298883848	0.092756183745583	0.0918727915194346	0.0485865724381625
base_k0_student	base_k0	student	befa.st	1132	1.44106132803971	1.44069414554134	0.000367182498370304	0.315148177290793	0.699874262070356	0.0706713780918728	0.0697879858657244	0.0477031802120141
ftp_k0_gamma	ftp_k0	gamma	befa.st	1132	1.44106132803971	1.38044744072449	0.0606138873152268	0.318987815424339	0.756226171996364	0.088339222614841	0.088339222614841	0.0503533568904594
ftp_k0_lognormal	ftp_k0	lognormal	befa.st	1132	1.44106132803971	2.00900016743246	-0.567938839392747	0.671970690317049	0.129336516776959	0.0742049469964664	0.0706713780918728	0.0167844522968198
ftp_k0_student	ftp_k0	student	befa.st	1132	1.44106132803971	2.00410274056064	-0.563041412520923	0.665786920269669	0.115464574560224	0.073321554770318	0.0715547703180212	0.0132508833922261
ftp_k1_gamma	ftp_k1	gamma	befa.st	1132	1.44106132803971	1.38029892627771	0.0607624017620025	0.318660796040023	0.756776404186363	0.0848056537102474	0.0839222614840989	0.053886925795053
ftp_k1_lognormal	ftp_k1	lognormal	befa.st	1132	1.44106132803971	2.00579480291121	-0.564733474871497	0.665848392785831	0.12932633155305	0.0768551236749117	0.0759717314487632	0.0159010600706714
ftp_k1_student	ftp_k1	student	befa.st	1132	1.44106132803971	2.00746161224518	-0.566400284205468	0.666550945426744	0.115980662601223	0.0715547703180212	0.0680212014134276	0.0185512367491166
ftp_sp_k0_gamma	ftp_sp_k0	gamma	befa.st	1132	1.44106132803971	1.39592817186323	0.0451331561764867	0.263468426100138	0.715681441207761	0.0989399293286219	0.0980565371024735	0.0512367491166078
ftp_sp_k0_lognormal	ftp_sp_k0	lognormal	befa.st	1132	1.44106132803971	2.00823001825218	-0.567168690212464	0.670092765375925	0.130077994020087	0.0750883392226148	0.0715547703180212	0.0185512367491166
ftp_sp_k0_student	ftp_sp_k0	student	befa.st	1132	1.44106132803971	2.00565191232101	-0.564590584281296	0.669010086225641	0.118083713131611	0.0724381625441696	0.068904593639576	0.0176678445229682
ftp_sp_k1_gamma	ftp_sp_k1	gamma	befa.st	1132	1.44106132803971	1.39549069635903	0.0455706316806841	0.263920140669998	0.716186121809825	0.0962897526501767	0.0962897526501767	0.049469964664311
ftp_sp_k1_lognormal	ftp_sp_k1	lognormal	befa.st	1132	1.44106132803971	2.00287313609251	-0.5618118080528	0.664659371983963	0.127114434550695	0.0742049469964664	0.073321554770318	0.0212014134275618
ftp_sp_k1_student	ftp_sp_k1	student	befa.st	1132	1.44106132803971	2.00487021776938	-0.563808889729669	0.665994185699272	0.116610166493792	0.0724381625441696	0.0697879858657244	0.015017667844523
ftp_sp_k2_gamma	ftp_sp_k2	gamma	befa.st	1132	1.44106132803971	1.39597768095138	0.0450836470883294	0.262153120744036	0.70817784696087	0.092756183745583	0.092756183745583	0.0450530035335689
ftp_sp_k2_lognormal	ftp_sp_k2	lognormal	befa.st	1132	1.44106132803971	2.00135719999356	-0.560295871953844	0.664224785298037	0.127473711817737	0.0777385159010601	0.0742049469964664	0.0176678445229682
ftp_sp_k2_student	ftp_sp_k2	student	befa.st	1132	1.44106132803971	2.00470247736072	-0.563641149321005	0.665795748497256	0.116306048755173	0.0706713780918728	0.068904593639576	0.0167844522968198
PFT_k0_student	PFT_k0	student	befa.st	1132	1.44106132803971	2.006355950012	-0.565294621972291	0.666912547451378	0.115363442890831	0.073321554770318	0.0706713780918728	0.0185512367491166
PFT_k1_student	PFT_k1	student	befa.st	1132	1.44106132803971	2.00707613721188	-0.566014809172165	0.666514547415531	0.114845946364451	0.0750883392226148	0.0715547703180212	0.015017667844523
PFT_sp_k0_student	PFT_sp_k0	student	befa.st	1132	1.44106132803971	2.00848170077664	-0.567420372736926	0.667783049737412	0.115102380671918	0.0706713780918728	0.0697879858657244	0.0159010600706714
PFT_sp_k1_student	PFT_sp_k1	student	befa.st	1132	1.44106132803971	2.00540828717293	-0.564346959133213	0.664398152307411	0.115050875609256	0.0750883392226148	0.0724381625441696	0.015017667844523
PFT_sp_k2_student	PFT_sp_k2	student	befa.st	1132	1.44106132803971	2.00690391112937	-0.565842583089662	0.667214793640183	0.11638602997511	0.0697879858657244	0.068904593639576	0.0167844522968198
sp_k0_gamma	sp_k0	gamma	befa.st	1132	1.44106132803971	1.39547152179241	0.045589806247307	0.263881439268406	0.71629626962887	0.101590106007067	0.0989399293286219	0.0503533568904594
sp_k0_lognormal	sp_k0	lognormal	befa.st	1132	1.44106132803971	2.01531536598666	-0.574254037946945	0.672411458069695	0.127389468307012	0.0750883392226148	0.0742049469964664	0.0167844522968198
sp_k0_student	sp_k0	student	befa.st	1132	1.44106132803971	2.01479813993995	-0.573736811900241	0.669375754842881	0.114572360385398	0.0697879858657244	0.068904593639576	0.0159010600706714
sp_k1_gamma	sp_k1	gamma	befa.st	1132	1.44106132803971	1.3948396886096	0.0462216394301171	0.264704694055891	0.714266958870618	0.0962897526501767	0.0962897526501767	0.0468197879858657
sp_k1_lognormal	sp_k1	lognormal	befa.st	1132	1.44106132803971	2.01182166041708	-0.570760332377367	0.670495483919879	0.12676017796147	0.0742049469964664	0.0706713780918728	0.0176678445229682
sp_k1_student	sp_k1	student	befa.st	1132	1.44106132803971	2.01680652242934	-0.575745194389632	0.674195387711008	0.114780621739907	0.0750883392226148	0.0724381625441696	0.0167844522968198
base_k0_gamma	base_k0	gamma	befr.st	524	0.442216609003624	0.404078908897943	0.0381377001056811	0.26900461189932	0.738336701779218	0.0858778625954199	0.0858778625954199	0.0553435114503817
base_k0_lognormal	base_k0	lognormal	befr.st	524	0.442216609003624	0.385875392492698	0.056341216510926	0.272393251429964	0.679148428445444	0.083969465648855	0.0820610687022901	0.0572519083969466
base_k0_student	base_k0	student	befr.st	524	0.442216609003624	0.441199117447388	0.00101749155623565	0.265701346397812	0.660601405333446	0.0515267175572519	0.0515267175572519	0.0381679389312977
ftp_k0_gamma	ftp_k0	gamma	befr.st	524	0.442216609003624	0.406450173748266	0.0357664352553576	0.259541598209524	0.748065357222443	0.0877862595419847	0.0877862595419847	0.0477099236641221
ftp_k0_lognormal	ftp_k0	lognormal	befr.st	524	0.442216609003624	1.00591267862357	-0.563696069619947	0.6253176714188	0.215916017862713	0.0534351145038168	0.049618320610687	0.0190839694656489
ftp_k0_student	ftp_k0	student	befr.st	524	0.442216609003624	1.00477440417937	-0.562557795175749	0.625847089519206	0.192043158027755	0.0553435114503817	0.0534351145038168	0.0190839694656489
ftp_k1_gamma	ftp_k1	gamma	befr.st	524	0.442216609003624	0.406875708964445	0.0353409000391787	0.259297201286934	0.745930714525227	0.0916030534351145	0.0896946564885496	0.0515267175572519
ftp_k1_lognormal	ftp_k1	lognormal	befr.st	524	0.442216609003624	1.00295640593248	-0.56073979692886	0.624405892866146	0.216641510791389	0.0515267175572519	0.0477099236641221	0.0229007633587786
ftp_k1_student	ftp_k1	student	befr.st	524	0.442216609003624	1.00426643158137	-0.562049822577744	0.624880446076622	0.195040567795822	0.0477099236641221	0.0400763358778626	0.0209923664122137
ftp_sp_k0_gamma	ftp_sp_k0	gamma	befr.st	524	0.442216609003624	0.41330379742143	0.0289128115821938	0.225958723664798	0.712377014127724	0.066793893129771	0.066793893129771	0.0362595419847328
ftp_sp_k0_lognormal	ftp_sp_k0	lognormal	befr.st	524	0.442216609003624	1.00815073151382	-0.565934122510198	0.629021696422141	0.217303198264522	0.0534351145038168	0.049618320610687	0.0209923664122137
ftp_sp_k0_student	ftp_sp_k0	student	befr.st	524	0.442216609003624	1.00353210791198	-0.561315498908359	0.623518367498516	0.195298245990882	0.049618320610687	0.049618320610687	0.0209923664122137
