model	model_structure	family	variable	mean	median	sd	q025	q05	q95	q975	prob_gt_0	prob_lt_0	is_best_comparison_model
base_k0_gamma	base_k0	gamma	b_y1m1_logL_Intercept	-1.01594959585375	-1.0151849	0.0296890245566115	-1.07599753	-1.065888125	-0.9685341875	-0.95946813025	0	1	FALSE
base_k0_gamma	base_k0	gamma	b_y1m1_logA_Intercept	0.266612705084705	0.264035315	0.176138087747083	-0.071203260975	-0.0194997245	0.558132147	0.61655731725	0.937375	0.062625	FALSE
base_k0_gamma	base_k0	gamma	b_y1m1_logk_Intercept	2.1597852737	2.1622017	0.115827450401902	1.93343831	1.971769585	2.346704235	2.380969665	1	0	FALSE
base_k0_gamma	base_k0	gamma	b_y2_logL_Intercept	-1.72534559166875	-1.54074415	0.668573801212749	-3.35361621	-3.049853235	-0.9991436605	-0.9699943765	0	1	FALSE
base_k0_gamma	base_k0	gamma	b_y2_logA_Intercept	-1.019515142595	-1.0010603	0.250043914002472	-1.5613300975	-1.467349285	-0.6627378015	-0.6277786935	0	1	FALSE
base_k0_gamma	base_k0	gamma	b_y2_logk_Intercept	0.038832671278575	-0.080340011	0.628219243086781	-0.91781024325	-0.8173606075	1.160206625	1.302633145	0.464	0.536	FALSE
base_k0_gamma	base_k0	gamma	shape_y1m1	2.3172770261375	2.31602485	0.0916870202529665	2.1400326325	2.16726934	2.469015395	2.49596557	1	0	FALSE
base_k0_gamma	base_k0	gamma	shape_y2	3.77566517235	3.76948445	0.226270640049935	3.345044395	3.41058608	4.152169115	4.23734544	1	0	FALSE
ftp_k0_gamma	ftp_k0	gamma	b_y1m1_logL_Intercept	-1.37484414074713	-1.24720735	0.497552325871984	-2.660314835	-2.37170636	-0.789210285	-0.656390274	0.000625	0.999375	FALSE
ftp_k0_gamma	ftp_k0	gamma	b_y1m1_logA_Intercept	-0.35875377154847	-0.30483858	0.504206450706542	-1.4880424275	-1.269207125	0.372395247	0.48699906275	0.24725	0.75275	FALSE
ftp_k0_gamma	ftp_k0	gamma	b_y1m1_logk_Intercept	1.9720933480375	1.9747241	0.132625429884381	1.7023340975	1.75051442	2.182931965	2.22331899	1	0	FALSE
ftp_k0_gamma	ftp_k0	gamma	b_y2_logL_Intercept	-2.04242972883025	-1.96140085	0.674177869800769	-3.5294685225	-3.253628735	-1.08731868	-0.94451535925	0.00025	0.99975	FALSE
ftp_k0_gamma	ftp_k0	gamma	b_y2_logA_Intercept	-0.90418779639447	-0.889358645	0.329965384525952	-1.6170392975	-1.446712705	-0.384774992	-0.240296793750001	0.008	0.992	FALSE
ftp_k0_gamma	ftp_k0	gamma	b_y2_logk_Intercept	0.0350681134630316	-0.034564747	0.438553065160739	-0.67699423175	-0.584956718	0.8403039245	1.00886047	0.469125	0.530875	FALSE
ftp_k0_gamma	ftp_k0	gamma	sd_h1__y1m1_logL_Intercept	0.700500788887625	0.50507315	0.611709813408488	0.12787657375	0.1525970055	1.913516485	2.4115267625	1	0	FALSE
ftp_k0_gamma	ftp_k0	gamma	sd_h1__y1m1_logA_Intercept	0.86913034615395	0.708631315	0.609346544457002	0.17858534975	0.2322098865	2.06118314	2.4834737775	1	0	FALSE
ftp_k0_gamma	ftp_k0	gamma	sd_h1__y2_logL_Intercept	0.939026787773306	0.749982255	0.73987422521164	0.11843548625	0.1816882915	2.331244175	2.906915695	1	0	FALSE
ftp_k0_gamma	ftp_k0	gamma	sd_h1__y2_logA_Intercept	0.410920564546907	0.272189015	0.451149098385796	0.010267289675	0.02082966225	1.281192875	1.5878272875	1	0	FALSE
ftp_k0_gamma	ftp_k0	gamma	shape_y1m1	2.3876626951375	2.38696325	0.0945155483836532	2.2050751875	2.23456351	2.54570523	2.577693935	1	0	FALSE
ftp_k0_gamma	ftp_k0	gamma	shape_y2	4.1635666569875	4.1575074	0.247529017229935	3.69132999	3.763991605	4.57476369	4.65636461	1	0	FALSE
ftp_k1_gamma	ftp_k1	gamma	b_y1m1_logL_Intercept	-1.36920459009211	-1.2572949	0.490114211587011	-2.598209795	-2.34440271	-0.763531688	-0.646112523750001	0.001125	0.998875	FALSE
ftp_k1_gamma	ftp_k1	gamma	b_y1m1_logA_Intercept	-0.185827220534878	-0.0865538595	0.497067148573149	-1.35581192	-1.13806064	0.452700557	0.53974465475	0.423	0.577	FALSE
ftp_k1_gamma	ftp_k1	gamma	b_y1m1_logk_Intercept	1.31974032470731	1.50896055	0.748520757358346	-0.43120565475	-0.1388417805	2.19789418	2.3100460025	0.93325	0.06675	FALSE
ftp_k1_gamma	ftp_k1	gamma	b_y2_logL_Intercept	-2.11767124368988	-2.0377276	0.694470249494391	-3.6201050325	-3.359440925	-1.124374475	-1.00294151	0	1	FALSE
ftp_k1_gamma	ftp_k1	gamma	b_y2_logA_Intercept	-0.858848013454087	-0.838272485	0.314668245535374	-1.5172199625	-1.384190625	-0.391610386000001	-0.2420822315	0.00875	0.99125	FALSE
ftp_k1_gamma	ftp_k1	gamma	b_y2_logk_Intercept	-0.0303807041270329	-0.07339455	0.53160539711388	-1.000473085	-0.832798224	0.8964666665	1.0786050725	0.44375	0.55625	FALSE
ftp_k1_gamma	ftp_k1	gamma	sd_h1__y1m1_logL_Intercept	0.704279431644625	0.518286415	0.589749218937484	0.13890834575	0.164906976	1.844192515	2.334316915	1	0	FALSE
ftp_k1_gamma	ftp_k1	gamma	sd_h1__y1m1_logA_Intercept	0.689502773367306	0.523148935	0.612741238619539	0.028548198175	0.0545364872	1.86934594	2.286751355	1	0	FALSE
ftp_k1_gamma	ftp_k1	gamma	sd_h1__y1m1_logk_Intercept	0.988788851370004	0.774870445	0.858514947536453	0.0291528962	0.0642818423	2.69742605	3.18157962	1	0	FALSE
ftp_k1_gamma	ftp_k1	gamma	sd_h1__y2_logL_Intercept	0.822878053483017	0.631802115	0.72976225135779	0.0384184257	0.0736993678	2.248038025	2.7263745975	1	0	FALSE
ftp_k1_gamma	ftp_k1	gamma	sd_h1__y2_logA_Intercept	0.387028963678156	0.244884525	0.434121978029049	0.010067295125	0.02087393985	1.20721523	1.562164705	1	0	FALSE
ftp_k1_gamma	ftp_k1	gamma	sd_h1__y2_logk_Intercept	0.624094099533613	0.46629164	0.576374265747042	0.017952440375	0.0411190133	1.757305145	2.1415265525	1	0	FALSE
ftp_k1_gamma	ftp_k1	gamma	shape_y1m1	2.3888877763	2.38755535	0.0934279373925737	2.207028395	2.235437875	2.54572786	2.578987705	1	0	FALSE
ftp_k1_gamma	ftp_k1	gamma	shape_y2	4.16244786325	4.1564014	0.2416348471565	3.702989185	3.765650195	4.572773045	4.650776725	1	0	FALSE
ftp_sp_k0_gamma	ftp_sp_k0	gamma	b_y1m1_logL_Intercept	-1.3808943159839	-1.26951995	0.461740675755303	-2.57539406	-2.3026755	-0.837991607	-0.71133791225	0.001	0.999	TRUE
ftp_sp_k0_gamma	ftp_sp_k0	gamma	b_y1m1_logA_Intercept	-0.145102441414784	-0.05890092	0.44677059828561	-1.2702620525	-1.015667275	0.431742171	0.52180822775	0.430375	0.569625	TRUE
ftp_sp_k0_gamma	ftp_sp_k0	gamma	b_y1m1_logk_Intercept	1.92811943	1.93023695	0.115184321138929	1.6934044375	1.73458545	2.11456703	2.1468191475	1	0	TRUE
ftp_sp_k0_gamma	ftp_sp_k0	gamma	b_y2_logL_Intercept	-1.69489970478387	-1.5629023	0.632355421416647	-3.235564075	-2.927607905	-0.9269955065	-0.81208023225	0.000125	0.999875	TRUE
ftp_sp_k0_gamma	ftp_sp_k0	gamma	b_y2_logA_Intercept	-0.99617699330535	-0.99876097	0.356948649692467	-1.7106638	-1.5868848	-0.4219709085	-0.24195602075	0.0095	0.9905	TRUE
ftp_sp_k0_gamma	ftp_sp_k0	gamma	b_y2_logk_Intercept	0.579765532998058	0.55834525	0.582455120514527	-0.43496633	-0.319988319	1.52748755	1.6780141875	0.818625	0.181375	TRUE
ftp_sp_k0_gamma	ftp_sp_k0	gamma	sd_h1__y1m1_logL_Intercept	0.585426707986425	0.404744475	0.580903179234002	0.0240608773	0.0459538151	1.737144075	2.208582745	1	0	TRUE
ftp_sp_k0_gamma	ftp_sp_k0	gamma	sd_h2__y1m1_logL_Intercept	0.5506061453275	0.537386425	0.0969097536193541	0.39709086675	0.4156368845	0.726889919	0.775601012	1	0	TRUE
ftp_sp_k0_gamma	ftp_sp_k0	gamma	sd_h1__y1m1_logA_Intercept	0.574910252326966	0.398278265	0.579968913254455	0.016747457175	0.0346582806	1.72301344	2.1135928925	1	0	TRUE
ftp_sp_k0_gamma	ftp_sp_k0	gamma	sd_h2__y1m1_logA_Intercept	0.350782447087125	0.333745025	0.119094774159521	0.166648348	0.1902082255	0.5724748785	0.63013349725	1	0	TRUE
ftp_sp_k0_gamma	ftp_sp_k0	gamma	sd_h1__y2_logL_Intercept	0.626931085405085	0.44092587	0.62537487540412	0.02694101085	0.05104660775	1.825749735	2.3109769175	1	0	TRUE
ftp_sp_k0_gamma	ftp_sp_k0	gamma	sd_h2__y2_logL_Intercept	0.509404019282694	0.44928271	0.234742815844978	0.23673097975	0.2697068445	0.957377104999998	1.142459115	1	0	TRUE
ftp_sp_k0_gamma	ftp_sp_k0	gamma	sd_h1__y2_logA_Intercept	0.416620994038976	0.27083039	0.465298605819644	0.01035634155	0.0224254399	1.287249095	1.68346356	1	0	TRUE
ftp_sp_k0_gamma	ftp_sp_k0	gamma	sd_h2__y2_logA_Intercept	0.467604964214987	0.418299815	0.310301065456112	0.029564122375	0.0569743566	1.03277603	1.2045839425	1	0	TRUE
ftp_sp_k0_gamma	ftp_sp_k0	gamma	shape_y1m1	3.393494647975	3.38994	0.140280370705573	3.1225913925	3.16579414	3.626737305	3.6734873625	1	0	TRUE
ftp_sp_k0_gamma	ftp_sp_k0	gamma	shape_y2	5.5334017385375	5.52960105	0.349288179166294	4.8776479175	4.96804307	6.112828905	6.2341238575	1	0	TRUE
ftp_sp_k1_gamma	ftp_sp_k1	gamma	b_y1m1_logL_Intercept	-1.39193608515325	-1.28118	0.460368348073852	-2.5955524325	-2.31286974	-0.8562656265	-0.749682518	0.00025	0.99975	FALSE
ftp_sp_k1_gamma	ftp_sp_k1	gamma	b_y1m1_logA_Intercept	-0.145674700289349	-0.0575196195	0.457375477262854	-1.300415495	-1.044009365	0.439320796	0.536291105	0.43875	0.56125	FALSE
ftp_sp_k1_gamma	ftp_sp_k1	gamma	b_y1m1_logk_Intercept	1.43972032893912	1.6780784	0.663590846419703	-0.26435435825	0.0510418055500001	2.12339642	2.19343449	0.955	0.045	FALSE
ftp_sp_k1_gamma	ftp_sp_k1	gamma	b_y2_logL_Intercept	-1.63962009584525	-1.5047732	0.622834102159569	-3.1566201175	-2.85401193	-0.875311212	-0.77365466	0.000125	0.999875	FALSE
ftp_sp_k1_gamma	ftp_sp_k1	gamma	b_y2_logA_Intercept	-0.94445725196586	-0.94719141	0.395814002057959	-1.7637391925	-1.571258325	-0.309660435	-0.133230336750001	0.017875	0.982125	FALSE
ftp_sp_k1_gamma	ftp_sp_k1	gamma	b_y2_logk_Intercept	0.550090503728737	0.552433975	0.663844664585801	-0.72874055425	-0.520454366	1.61913125	1.7792185675	0.785125	0.214875	FALSE
ftp_sp_k1_gamma	ftp_sp_k1	gamma	sd_h1__y1m1_logL_Intercept	0.588419954310269	0.410388125	0.573530523884731	0.0171759452	0.0385666947	1.69152659	2.126449665	1	0	FALSE
ftp_sp_k1_gamma	ftp_sp_k1	gamma	sd_h2__y1m1_logL_Intercept	0.54756841532375	0.53414303	0.0997357451978642	0.39298497675	0.41003074	0.7305549185	0.78023612975	1	0	FALSE
ftp_sp_k1_gamma	ftp_sp_k1	gamma	sd_h1__y1m1_logA_Intercept	0.588424603071471	0.41195206	0.584053754130812	0.017323693975	0.0350951323	1.73603394	2.1944469925	1	0	FALSE
ftp_sp_k1_gamma	ftp_sp_k1	gamma	sd_h2__y1m1_logA_Intercept	0.347572849284625	0.331768915	0.116376698417583	0.16813397625	0.189193501	0.561480327	0.626675797	1	0	FALSE
ftp_sp_k1_gamma	ftp_sp_k1	gamma	sd_h1__y1m1_logk_Intercept	0.71910879695506	0.45709676	0.750444079131595	0.015404551875	0.02890164365	2.237677865	2.6992219475	1	0	FALSE
ftp_sp_k1_gamma	ftp_sp_k1	gamma	sd_h1__y2_logL_Intercept	0.651810065021034	0.46742442	0.62100367283975	0.026029631975	0.04921161545	1.90258466	2.3684589925	1	0	FALSE
ftp_sp_k1_gamma	ftp_sp_k1	gamma	sd_h2__y2_logL_Intercept	0.47025553263525	0.41131239	0.234004469739139	0.23035337725	0.2579059845	0.867962548499999	1.084551765	1	0	FALSE
ftp_sp_k1_gamma	ftp_sp_k1	gamma	sd_h1__y2_logA_Intercept	0.493949648668263	0.33747546	0.522710366271836	0.014633473175	0.02879457645	1.473737165	1.894296185	1	0	FALSE
ftp_sp_k1_gamma	ftp_sp_k1	gamma	sd_h2__y2_logA_Intercept	0.665948803739941	0.53478408	0.497288377567575	0.030496721625	0.0685488089	1.642782375	1.9195270725	1	0	FALSE
ftp_sp_k1_gamma	ftp_sp_k1	gamma	sd_h1__y2_logk_Intercept	0.730183773717155	0.53898269	0.679102726222209	0.022267505575	0.04318513345	2.03411586	2.46411377	1	0	FALSE
ftp_sp_k1_gamma	ftp_sp_k1	gamma	shape_y1m1	3.39048831035	3.38697095	0.136710243771145	3.1290282	3.17096634	3.62015623	3.660426965	1	0	FALSE
