model	model_structure	family	response	x	predicted_mean	predicted_median	predicted_sd	pred_q025	pred_q05	pred_q10	pred_q25	pred_q50	pred_q75	pred_q90	pred_q95	pred_q975	is_best_comparison_model
base_k0_gamma	base_k0	gamma	befa.st	0.00753455287049989	2.60258361044639	2.58054216955554	0.21667408643849	2.24008527209366	2.28711283429751	2.3424175274313	2.45113470022445	2.58054216955554	2.73500912732865	2.88526515898951	2.98375666741663	3.08246807509285	FALSE
base_k0_gamma	base_k0	gamma	befa.st	0.0179061225674211	2.49372519204987	2.4760392944091	0.188138502871843	2.17673019750324	2.21688853228285	2.2673320982181	2.36220437232502	2.4760392944091	2.60973159412252	2.73869673116289	2.82391447088064	2.90280909831858	FALSE
base_k0_gamma	base_k0	gamma	befa.st	0.0282776922643423	2.39453609177087	2.37995493528698	0.163271190235393	2.11705370872024	2.15180192532192	2.19838446101848	2.28087976427356	2.37995493528698	2.49618469497317	2.60729059570385	2.68070466788882	2.74880444139109	FALSE
base_k0_gamma	base_k0	gamma	befa.st	0.0386492619612635	2.3041471503986	2.29188006565215	0.141643894116087	2.06093053051509	2.09160881773032	2.13190205166937	2.2051835167691	2.29188006565215	2.39365308306783	2.48948282087787	2.55075080282126	2.60870061774666	FALSE
base_k0_gamma	base_k0	gamma	befa.st	0.0490208316581847	2.22176826323383	2.21126153504213	0.122877367405402	2.00759885002069	2.03627190846429	2.07224958272116	2.13614869098859	2.21126153504213	2.2994514615311	2.38271519551504	2.4359519170514	2.48391623739064	FALSE
base_k0_gamma	base_k0	gamma	befa.st	0.059392401355106	2.14668110500244	2.13762820241626	0.106635645193938	1.95911210506313	1.98489336809304	2.01602073624835	2.07282562681744	2.13762820241626	2.21401608471251	2.28595276338727	2.33242802754098	2.37245830345306	FALSE
base_k0_gamma	base_k0	gamma	befa.st	0.0697639710520272	2.0782325320993	2.07123792886023	0.092620862812507	1.91418344983418	1.93714531786939	1.96375930783323	2.01417509748051	2.07123792886023	2.13639227828121	2.19967087277491	2.2389705555247	2.27357424735476	FALSE
base_k0_gamma	base_k0	gamma	befa.st	0.0801355407489484	2.01582859836771	2.01007720763544	0.0805685342995889	1.8728722266047	1.89279842184808	1.91568199256525	1.95944647048552	2.01007720763544	2.06721798674528	2.12053685438926	2.15463085396124	2.1867070089365	FALSE
base_k0_gamma	base_k0	gamma	befa.st	0.0905071104458696	1.95892912669718	1.95443626993855	0.0702432257391123	1.83298750042777	1.8506050173114	1.87165837764296	1.90970712274818	1.95443626993855	2.00374754333106	2.05008866563778	2.07934479727209	2.10850614623715	FALSE
base_k0_gamma	base_k0	gamma	befa.st	0.100878680142791	1.90704278421525	1.90302829520212	0.0614345847958823	1.79678389801365	1.81104620842077	1.8299925444953	1.86398671809651	1.90302829520212	1.94610567364328	1.98712664102719	2.01121947564947	2.03745127310607	FALSE
base_k0_gamma	base_k0	gamma	befa.st	0.111250249839712	1.8597226138127	1.85665372930801	0.053953727341569	1.76264422536761	1.77502304427673	1.79194309597841	1.8221910799912	1.85665372930801	1.89448210374921	1.93007201701061	1.95122313412809	1.97355749428967	FALSE
base_k0_gamma	base_k0	gamma	befa.st	0.121621819536633	1.81656197922791	1.81413143364825	0.0476300327222651	1.73030462111814	1.74132617614173	1.75696230764665	1.78379740584178	1.81413143364825	1.84767203774502	1.87827012394179	1.89700558947592	1.91686629431731	FALSE
base_k0_gamma	base_k0	gamma	befa.st	0.131993389233554	1.77719088497183	1.77523424059476	0.0423084499820461	1.7002526547894	1.71035199620605	1.72406935574549	1.74795374252358	1.77523424059476	1.80495843330579	1.83253933528145	1.84870933523887	1.86539719601427	FALSE
base_k0_gamma	base_k0	gamma	befa.st	0.142364958930476	1.74127263604206	1.73961228027018	0.0378474450861804	1.67245631859845	1.68114016009063	1.69339966245621	1.71533152327669	1.73961228027018	1.76589444247263	1.79094953189833	1.8052826234238	1.81910176554267	FALSE
base_k0_gamma	base_k0	gamma	befa.st	0.152736528627397	1.70850080568934	1.70744871258499	0.0341176942188294	1.64621056193359	1.65391989631691	1.66555780090342	1.68478808395932	1.70744871258499	1.73069438575243	1.75332313799263	1.76639074689459	1.77787547228714	FALSE
base_k0_gamma	base_k0	gamma	befa.st	0.163108098324318	1.67859648249883	1.67758442652287	0.0310015325981617	1.62132959507941	1.62901404343796	1.63956425195916	1.65707392777602	1.67758442652287	1.6987808011299	1.71939620528699	1.73029782952901	1.74150819032316	FALSE
base_k0_gamma	base_k0	gamma	befa.st	0.173479668021239	1.65130577075983	1.65036275174875	0.0283930190265761	1.59857798733752	1.60604091324867	1.61550465323521	1.63160425102253	1.65036275174875	1.66988497677341	1.68874205966621	1.6990473626546	1.70846323760862	FALSE
base_k0_gamma	base_k0	gamma	befa.st	0.183851237718161	1.62639752055061	1.62549629852188	0.0261983323015881	1.57701280925719	1.5847151053686	1.59344877175639	1.60808834050576	1.62549629852188	1.64363585175345	1.6607164989277	1.67031586330139	1.67892963951194	FALSE
