model	variable	mean	median	sd	mad	q5	q95
base_k0	b_y1m1_logL_Intercept	-1.01594959585375	-1.0151849	0.0296890245566115	0.0301388117100002	-1.065888125	-0.9685341875
base_k0	b_y1m1_logA_Intercept	0.266612705084705	0.264035315	0.176138087747083	0.175390727505	-0.0194997245	0.558132147
base_k0	b_y1m1_logk_Intercept	2.1597852737	2.1622017	0.115827450401902	0.11523886563	1.971769585	2.346704235
base_k0	b_y2_logL_Intercept	-1.72534559166875	-1.54074415	0.668573801212749	0.61499604579	-3.049853235	-0.9991436605
base_k0	b_y2_logA_Intercept	-1.019515142595	-1.0010603	0.250043914002472	0.272576892147	-1.467349285	-0.6627378015
base_k0	b_y2_logk_Intercept	0.038832671278575	-0.080340011	0.628219243086781	0.6784899015594	-0.8173606075	1.160206625
base_k0	shape_y1m1	2.3172770261375	2.31602485	0.0916870202529665	0.0941568866700003	2.16726934	2.469015395
base_k0	shape_y2	3.77566517235	3.76948445	0.226270640049935	0.22420818651	3.41058608	4.152169115
ftp_k0	b_y1m1_logL_Intercept	-1.37484414074713	-1.24720735	0.497552325871984	0.35231898534	-2.37170636	-0.789210285
ftp_k0	b_y1m1_logA_Intercept	-0.35875377154847	-0.30483858	0.504206450706542	0.4872501103722	-1.269207125	0.372395247
ftp_k0	b_y1m1_logk_Intercept	1.9720933480375	1.9747241	0.132625429884381	0.13212842244	1.75051442	2.182931965
ftp_k0	b_y2_logL_Intercept	-2.04242972883025	-1.96140085	0.674177869800769	0.67375326291	-3.253628735	-1.08731868
ftp_k0	b_y2_logA_Intercept	-0.90418779639447	-0.889358645	0.329965384525952	0.275479489362	-1.446712705	-0.384774992
ftp_k0	b_y2_logk_Intercept	0.0350681134630316	-0.034564747	0.438553065160739	0.425943996954	-0.584956718	0.8403039245
ftp_k0	sd_h1__y1m1_logL_Intercept	0.700500788887625	0.50507315	0.611709813408488	0.378943019469	0.1525970055	1.913516485
ftp_k0	sd_h1__y1m1_logA_Intercept	0.86913034615395	0.708631315	0.609346544457002	0.453689440071	0.2322098865	2.06118314
ftp_k0	sd_h1__y2_logL_Intercept	0.939026787773306	0.749982255	0.73987422521164	0.531997510653	0.1816882915	2.331244175
ftp_k0	sd_h1__y2_logA_Intercept	0.410920564546907	0.272189015	0.451149098385796	0.2721485534397	0.02082966225	1.281192875
ftp_k0	shape_y1m1	2.3876626951375	2.38696325	0.0945155483836532	0.0946422899100003	2.23456351	2.54570523
ftp_k0	shape_y2	4.1635666569875	4.1575074	0.247529017229935	0.2505986889	3.763991605	4.57476369
ftp_k1	b_y1m1_logL_Intercept	-1.36920459009211	-1.2572949	0.490114211587011	0.36516059937	-2.34440271	-0.763531688
ftp_k1	b_y1m1_logA_Intercept	-0.185827220534878	-0.0865538595	0.497067148573149	0.4507932172947	-1.13806064	0.452700557
ftp_k1	b_y1m1_logk_Intercept	1.31974032470731	1.50896055	0.748520757358346	0.69249903492	-0.1388417805	2.19789418
ftp_k1	b_y2_logL_Intercept	-2.11767124368988	-2.0377276	0.694470249494391	0.70503753138	-3.359440925	-1.124374475
ftp_k1	b_y2_logA_Intercept	-0.858848013454087	-0.838272485	0.314668245535374	0.266712490086	-1.384190625	-0.391610386000001
ftp_k1	b_y2_logk_Intercept	-0.0303807041270329	-0.07339455	0.53160539711388	0.506867470305	-0.832798224	0.8964666665
ftp_k1	sd_h1__y1m1_logL_Intercept	0.704279431644625	0.518286415	0.589749218937484	0.383797296498	0.164906976	1.844192515
ftp_k1	sd_h1__y1m1_logA_Intercept	0.689502773367306	0.523148935	0.612741238619539	0.474547012695	0.0545364872	1.86934594
ftp_k1	sd_h1__y1m1_logk_Intercept	0.988788851370004	0.774870445	0.858514947536453	0.741891935463	0.0642818423	2.69742605
ftp_k1	sd_h1__y2_logL_Intercept	0.822878053483017	0.631802115	0.729762251357789	0.547508049312	0.0736993678	2.248038025
ftp_k1	sd_h1__y2_logA_Intercept	0.387028963678156	0.244884525	0.434121978029049	0.245885110611	0.02087393985	1.20721523
ftp_k1	sd_h1__y2_logk_Intercept	0.624094099533613	0.46629164	0.576374265747042	0.430015720638	0.0411190133	1.757305145
ftp_k1	shape_y1m1	2.3888877763	2.38755535	0.0934279373925737	0.09131741115	2.235437875	2.54572786
ftp_k1	shape_y2	4.16244786325	4.1564014	0.2416348471565	0.23993026995	3.765650195	4.572773045
sp_k0	b_y1m1_logL_Intercept	-1.1258243219575	-1.1252922	0.125389666679243	0.1223626845	-1.33286961	-0.924894628
sp_k0	b_y1m1_logA_Intercept	0.144107344170978	0.14482483	0.175616433546421	0.1722554532699	-0.1459777865	0.429545486
sp_k0	b_y1m1_logk_Intercept	1.9556444166375	1.9596282	0.111118789971049	0.11041381806	1.767883225	2.1317448
sp_k0	b_y2_logL_Intercept	-1.447466950535	-1.3019027	0.4803152827835	0.32542855023	-2.455417505	-0.966418147
sp_k0	b_y2_logA_Intercept	-1.01385309563112	-1.00785705	0.235953541385336	0.220284878499	-1.410003635	-0.644634654500001
sp_k0	b_y2_logk_Intercept	0.64588966854268	0.625272865	0.569561955217416	0.658127971011	-0.233363761	1.578501465
sp_k0	sd_h1__y1m1_logL_Intercept	0.56026920620625	0.547747025	0.0972063957820401	0.0908908967820001	0.4261594555	0.7380692325
sp_k0	sd_h1__y1m1_logA_Intercept	0.354333977399875	0.33894334	0.113026810710101	0.101783351418	0.199415622	0.5567985875
sp_k0	sd_h1__y2_logL_Intercept	0.525506719728725	0.46670626	0.233721349602771	0.166228934088	0.276990688	0.9812721375
sp_k0	sd_h1__y2_logA_Intercept	0.48558547856002	0.434580095	0.331137720613175	0.309718512915	0.0466594061	1.09861189
sp_k0	shape_y1m1	3.393327748175	3.3929342	0.135391534335119	0.13645917117	3.17617681	3.61571612
sp_k0	shape_y2	5.5455654123125	5.53585755	0.350246777166294	0.35328334251	4.9833069	6.13819688
