model	response	n	elpd_loo	elpd_loo_se	p_loo	looic	looic_se	max_pareto_k	n_pareto_k_gt_0.7	n_pareto_k_gt_1.0
ftp_sp_k0	befa.st	1132	248.836515432044	32.5253489021543	29.6852501926468	-497.673030864087	65.0506978043086	0.381510310881382	0	0
sp_k1	befa.st	1132	248.796871906216	32.7267264473842	32.9892897147413	-497.593743812432	65.4534528947683	0.504266933670865	0	0
sp_k0	befa.st	1132	248.61345777929	32.4947207855635	29.7998351408775	-497.226915558581	64.989441571127	0.469958232151823	0	0
ftp_sp_k2	befa.st	1132	248.297976275425	32.8024126765466	34.2436415961459	-496.59595255085	65.6048253530931	0.49002657978713	0	0
ftp_sp_k1	befa.st	1132	248.055719397224	32.5408139011204	30.3169271459804	-496.111438794448	65.0816278022407	0.359354102259107	0	0
ftp_k1	befa.st	1132	38.6887608963663	33.4956000600837	6.36425222057476	-77.3775217927326	66.9912001201675	0.257533215237124	0	0
ftp_k0	befa.st	1132	38.4915003113849	33.6138247276058	6.01089277761715	-76.9830006227699	67.2276494552116	0.281527538522409	0	0
base_k0	befa.st	1132	20.3165869587949	35.1223629499376	4.00962044098052	-40.6331739175898	70.2447258998753	0.194584099591326	0	0
sp_k1	befr.st	524	177.86048785794	25.3791150660343	33.0116152469751	-355.72097571588	50.7582301320686	0.765412548387542	1	0
ftp_sp_k0	befr.st	524	177.854288876345	25.0655994700193	32.1684035531769	-355.708577752689	50.1311989400385	0.597846588769804	0	0
ftp_sp_k1	befr.st	524	177.829823773716	25.2714061098348	37.203737411867	-355.659647547432	50.5428122196696	0.65099059099273	0	0
sp_k0	befr.st	524	177.804404691138	25.210054232295	33.0959827575759	-355.608809382277	50.4201084645901	0.707991929866815	1	0
ftp_sp_k2	befr.st	524	177.069212033018	25.3786981615822	37.4357730034763	-354.138424066037	50.7573963231645	0.60931779257653	0	0
ftp_k0	befr.st	524	110.686602915355	23.6422085461538	5.88645705022074	-221.373205830711	47.2844170923076	0.335795695465015	0	0
ftp_k1	befr.st	524	110.435921997984	23.8347055053659	6.442339528394	-220.871843995968	47.6694110107318	0.341767516166775	0	0
base_k0	befr.st	524	83.6448905448761	25.9462339401279	4.81412682747526	-167.289781089752	51.8924678802559	0.224641208445521	0	0
