file	models	row_level	response_scale	purpose
00_model_manifest.txt	all discovered models	one row per model	metadata	Input model inventory and file metadata.
01_mcmc_diagnostics.txt	all discovered models	one row per model	diagnostic scale	MCMC diagnostics for screening divergent or weakly mixed fits.
02_posterior_parameter_summary.txt	all discovered models	one row per model parameter	parameter scale	Posterior summaries for population, group SD, and family parameters.
03_ppcheck_observed_yrep_pointwise.txt	all discovered models	one row per model response observation	original response scale	Pointwise posterior predictive checks using observed values and yrep summaries.
03_ppcheck_observed_yrep_summary.txt	all discovered models	one row per model response	original response scale	Aggregate posterior predictive check metrics for model screening.
03_ppcheck_density_observed_yrep_<family>.pdf	one file per discovered family	plot	original response scale	Density posterior predictive checks split by distribution family.
04_observed_vs_predicted.txt	all discovered models	one row per model response observation	original response scale	Observed versus posterior fitted medians for calibration plots.
04_observed_vs_predicted.pdf	all discovered models	plot	original response scale	Quick base-R observed versus predicted diagnostic plot.
05_loo_metrics_by_response.txt	gamma models only	one row per gamma model response	LOO on comparable original response scale	Gamma-only response-level LOO metrics for model comparison.
05_loo_total_ranking.txt	gamma models only	one row per gamma model	summed LOO on comparable original response scale	Gamma-only total LOO ranking used to choose the comparison-best model.
05_response_vs_rsd_observed.txt	all discovered models	one row per model response observation	original response scale	Observed points for response versus relative stand density figures.
05_response_vs_rsd_predicted.txt	all discovered models	one row per model response x-grid point	original response scale	Posterior fitted response curves with 90 percent intervals for all models.
05_response_vs_rsd.pdf	all discovered models	plot	original response scale	Quick base-R response versus relative stand density plot.
06_publication_response_curve_summary_gamma.txt	gamma models only	one row per gamma model response x-grid point	original response scale	Publication-ready gamma response curves with multiple credible intervals.
06_publication_response_curve_draws_gamma.txt	gamma models only	one row per sampled posterior draw and x-grid point	original response scale	Sampled gamma posterior expected curves for spaghetti or ribbon diagnostics.
06_publication_parameter_summary_gamma.txt	gamma models only	one row per gamma model parameter	parameter scale	Publication-ready gamma parameter summaries with posterior probabilities.
RUN_SUMMARY.txt	run metadata	text	metadata	Run time, project path, output path, and output file listing.
