model	model_structure	family	variable	mean	median	sd	mad	q5	q95
base_k0_gamma	base_k0	gamma	b_y1m1_logL_Intercept	-1.01651919864625	-1.0159494	0.0300135667982116	0.029864671557	-1.06745566	-0.9680498075
base_k0_gamma	base_k0	gamma	b_y1m1_logA_Intercept	0.269000684164784	0.268283	0.173462912471622	0.170647808562	-0.01194527455	0.558161154
base_k0_gamma	base_k0	gamma	b_y1m1_logk_Intercept	2.1603924889	2.16200215	0.115467584662556	0.11451587574	1.96261135	2.347212995
base_k0_gamma	base_k0	gamma	b_y2_logL_Intercept	-1.70922217755375	-1.50804965	0.668165120025728	0.58567674123	-3.06579054	-0.997232387
base_k0_gamma	base_k0	gamma	b_y2_logA_Intercept	-1.02362866412625	-1.0060734	0.250401562364594	0.274939459725	-1.45732886	-0.661989503
base_k0_gamma	base_k0	gamma	b_y2_logk_Intercept	0.0596545101125263	-0.040742849	0.631420003902253	0.688218627873	-0.8132721615	1.18879007
base_k0_gamma	base_k0	gamma	shape_y1m1	2.3169155623375	2.3147318	0.0885653162424933	0.0905904923700002	2.175333485	2.460720405
base_k0_gamma	base_k0	gamma	shape_y2	3.77958348985	3.77191765	0.224966257916727	0.22378171662	3.418791615	4.156317525
base_k0_gaussian	base_k0	gaussian	b_y1m1_logL_Intercept	-1.03033077884875	-1.02926185	0.038546808026554	0.0387848160000003	-1.094365765	-0.9688099215
base_k0_gaussian	base_k0	gaussian	b_y1m1_logA_Intercept	0.279722254542613	0.28203186	0.0765525284990855	0.075409772907	0.150450348	0.4020265415
base_k0_gaussian	base_k0	gaussian	b_y1m1_logk_Intercept	2.127957367225	2.1280617	0.0877173195565153	0.0887161894500001	1.9841893	2.27236491
base_k0_gaussian	base_k0	gaussian	b_y2_logL_Intercept	-1.93985846396625	-1.8083761	0.685546123815638	0.70946968995	-3.23747785	-1.067831695
base_k0_gaussian	base_k0	gaussian	b_y2_logA_Intercept	-0.927418492895	-0.8808544	0.250178587530279	0.245095307352	-1.3882245	-0.6042801135
base_k0_gaussian	base_k0	gaussian	b_y2_logk_Intercept	-0.102375865977937	-0.18684677	0.505023417869824	0.46380368538	-0.8060099395	0.8559077645
base_k0_gaussian	base_k0	gaussian	sigma_y1m1	0.31594281958875	0.315768395	0.0066698433293143	0.00664857143999996	0.3051545045	0.327188648
base_k0_gaussian	base_k0	gaussian	sigma_y2	0.26692611582	0.26671969	0.00832431460130828	0.00832043274300009	0.2538213545	0.2809637115
base_k0_lognormal	base_k0	lognormal	b_y1m1_logL_Intercept	-1.2804536571875	-1.27883485	0.0336907733978286	0.0332971944899999	-1.33870628	-1.228239995
base_k0_lognormal	base_k0	lognormal	b_y1m1_logA_Intercept	0.198621937051306	0.198935855	0.174208261830953	0.17349844806	-0.09144546245	0.4810520345
base_k0_lognormal	base_k0	lognormal	b_y1m1_logk_Intercept	2.13557864485	2.13916785	0.113858748142399	0.11186031675	1.94225747	2.3189399
base_k0_lognormal	base_k0	lognormal	b_y2_logL_Intercept	-2.0311647963625	-1.90836915	0.651847662794944	0.66771722766	-3.25932717	-1.206171255
base_k0_lognormal	base_k0	lognormal	b_y2_logA_Intercept	-1.0910497123775	-1.05354345	0.239904077212584	0.243106614429	-1.540345855	-0.776837079
base_k0_lognormal	base_k0	lognormal	b_y2_logk_Intercept	-0.14182941422673	-0.22989904	0.497467970579728	0.4692907190391	-0.821830302	0.807133791
base_k0_lognormal	base_k0	lognormal	sigma_y1m1	0.691001449805	0.690600425	0.0143883250409426	0.01414926723	0.6677242325	0.7151123245
base_k0_lognormal	base_k0	lognormal	sigma_y2	0.5224997222725	0.52201409	0.0165145958548093	0.0164025523620001	0.4958718785	0.550552352
base_k0_student	base_k0	student	b_y1m1_logL_Intercept	-1.03033077884875	-1.02926185	0.038546808026554	0.0387848160000003	-1.094365765	-0.9688099215
base_k0_student	base_k0	student	b_y1m1_logA_Intercept	0.279722254542613	0.28203186	0.0765525284990855	0.075409772907	0.150450348	0.4020265415
base_k0_student	base_k0	student	b_y1m1_logk_Intercept	2.127957367225	2.1280617	0.0877173195565153	0.0887161894500001	1.9841893	2.27236491
base_k0_student	base_k0	student	b_y2_logL_Intercept	-1.93985846396625	-1.8083761	0.685546123815638	0.70946968995	-3.23747785	-1.067831695
