model	model_structure	family	response	n	elpd_loo	elpd_loo_se	p_loo	looic	looic_se	max_pareto_k	n_pareto_k_gt_0.7	n_pareto_k_gt_1.0
ftp_sp_k0_gamma	ftp_sp_k0	gamma	befa.st	1132	248.836515432044	32.5253489021543	29.6852501926468	-497.673030864087	65.0506978043086	0.381510310881382	0	0
sp_k1_gamma	sp_k1	gamma	befa.st	1132	248.796871906216	32.7267264473842	32.9892897147413	-497.593743812432	65.4534528947683	0.504266933670865	0	0
sp_k0_gamma	sp_k0	gamma	befa.st	1132	248.61345777929	32.4947207855635	29.7998351408775	-497.226915558581	64.989441571127	0.469958232151823	0	0
ftp_sp_k2_gamma	ftp_sp_k2	gamma	befa.st	1132	248.297976275425	32.8024126765466	34.2436415961459	-496.59595255085	65.6048253530931	0.49002657978713	0	0
PFT_sp_k0_gamma	PFT_sp_k0	gamma	befa.st	1132	248.207913004031	32.5340649974604	30.1160142853694	-496.415826008062	65.0681299949208	0.444269361392589	0	0
PFT_sp_k1_gamma	PFT_sp_k1	gamma	befa.st	1132	248.196807213249	32.8340170292171	32.3268544710744	-496.393614426498	65.6680340584342	0.627596609173051	0	0
ftp_sp_k1_gamma	ftp_sp_k1	gamma	befa.st	1132	248.055719397224	32.5408139011204	30.3169271459804	-496.111438794448	65.0816278022407	0.359354102259107	0	0
PFT_sp_k2_gamma	PFT_sp_k2	gamma	befa.st	1132	247.746017054015	32.9196781810827	35.5496470061152	-495.492034108029	65.8393563621654	0.470927513393819	0	0
PFT_k1_gamma	PFT_k1	gamma	befa.st	1132	92.3846701854831	33.0157709146199	11.4608468364164	-184.769340370966	66.0315418292397	0.266753976374989	0	0
PFT_k0_gamma	PFT_k0	gamma	befa.st	1132	81.9104338172662	32.861475833813	10.4599500077318	-163.820867634532	65.7229516676261	0.386945417989175	0	0
ftp_k1_gamma	ftp_k1	gamma	befa.st	1132	38.6887608963663	33.4956000600837	6.36425222057476	-77.3775217927326	66.9912001201675	0.257533215237124	0	0
ftp_k0_gamma	ftp_k0	gamma	befa.st	1132	38.4915003113849	33.6138247276058	6.01089277761715	-76.9830006227699	67.2276494552116	0.281527538522409	0	0
base_k0_gamma	base_k0	gamma	befa.st	1132	20.3922119113103	35.1396735044593	3.9513380975865	-40.7844238226207	70.2793470089187	0.266627625545735	0	0
PFT_sp_k1_gamma	PFT_sp_k1	gamma	befr.st	524	177.892698550587	25.085084919855	35.1063940585642	-355.785397101173	50.1701698397101	0.754356528665941	1	0
sp_k1_gamma	sp_k1	gamma	befr.st	524	177.86048785794	25.3791150660343	33.0116152469751	-355.72097571588	50.7582301320686	0.765412548387542	1	0
ftp_sp_k0_gamma	ftp_sp_k0	gamma	befr.st	524	177.854288876345	25.0655994700193	32.1684035531769	-355.708577752689	50.1311989400385	0.597846588769804	0	0
ftp_sp_k1_gamma	ftp_sp_k1	gamma	befr.st	524	177.829823773716	25.2714061098348	37.203737411867	-355.659647547432	50.5428122196696	0.65099059099273	0	0
sp_k0_gamma	sp_k0	gamma	befr.st	524	177.804404691138	25.210054232295	33.0959827575759	-355.608809382277	50.4201084645901	0.707991929866815	1	0
PFT_sp_k0_gamma	PFT_sp_k0	gamma	befr.st	524	177.769638346824	25.020526308819	31.9543971897836	-355.539276693647	50.0410526176379	0.666877014108139	0	0
ftp_sp_k2_gamma	ftp_sp_k2	gamma	befr.st	524	177.069212033018	25.3786981615822	37.4357730034763	-354.138424066037	50.7573963231645	0.60931779257653	0	0
PFT_sp_k2_gamma	PFT_sp_k2	gamma	befr.st	524	176.989292862682	25.3454865312758	34.955762769799	-353.978585725364	50.6909730625516	0.640240062537726	0	0
PFT_k1_gamma	PFT_k1	gamma	befr.st	524	116.656808163004	23.6226578199414	10.2425131700222	-233.313616326007	47.2453156398829	0.412948039039893	0	0
PFT_k0_gamma	PFT_k0	gamma	befr.st	524	115.180722231576	23.5074596823637	10.2553220180574	-230.361444463151	47.0149193647274	0.409568949637561	0	0
ftp_k0_gamma	ftp_k0	gamma	befr.st	524	110.686602915355	23.6422085461538	5.88645705022074	-221.373205830711	47.2844170923076	0.335795695465015	0	0
ftp_k1_gamma	ftp_k1	gamma	befr.st	524	110.435921997984	23.8347055053659	6.442339528394	-220.871843995968	47.6694110107318	0.341767516166775	0	0
base_k0_gamma	base_k0	gamma	befr.st	524	83.6487479891449	25.9432988148973	4.84246403422538	-167.29749597829	51.8865976297946	0.237028648617807	0	0
