model	model_structure	hierarchy	k_depth	family	brms_family	divergences	max_treedepth	max_rhat	max_rhat_parameter	min_bulk_ess	min_bulk_ess_parameter	min_tail_ess	min_tail_ess_parameter	passes_mcmc_screen
base_k0_gamma	base_k0	base	k0	gamma	gamma;gamma	0	10	1.00131547016333	b_y1m1_logL_Intercept	1650.5252605867	lp__	2839.91777132931	lp__	TRUE
base_k0_lognormal	base_k0	base	k0	lognormal	lognormal;lognormal	0	9	1.00128003669442	sigma_y1m1	1634.16171288786	lp__	3259.09609866587	lp__	TRUE
base_k0_student	base_k0	base	k0	student	gaussian;gaussian	0	9	1.00251185893324	sigma_y1m1	1868.91818534303	lp__	3454.5306890622	lp__	TRUE
ftp_k0_gamma	ftp_k0	ftp	k0	gamma	gamma;gamma	0	10	1.00169216605234	lp__	1587.84188981477	lp__	2853.02666212293	sd_h1__y2_logL_Intercept	TRUE
ftp_k0_lognormal	ftp_k0	ftp	k0	lognormal	lognormal;lognormal	0	7	1.00269424187831	r_h1__y1m1_logA[mono_B,Intercept]	2046.13617446304	r_h1__y1m1_logA[mono_N,Intercept]	1899.42672631727	sd_h1__y2_logA_Intercept	TRUE
ftp_k0_student	ftp_k0	ftp	k0	student	student;student	0	7	1.00229597926474	b_z2_logL_Intercept	1819.66226812241	lp__	1067.14200598513	r_h1__z2_logA[mono_B,Intercept]	TRUE
ftp_k1_gamma	ftp_k1	ftp	k1	gamma	gamma;gamma	0	11	1.00222226958789	sd_h1__y2_logk_Intercept	1857.79914400888	lp__	2897.9671372392	r_h1__y1m1_logL[mono_B,Intercept]	TRUE
ftp_k1_lognormal	ftp_k1	ftp	k1	lognormal	lognormal;lognormal	17	8	1.00421783168832	r_h1__y1m1_logA[mono_N,Intercept]	1941.05228196933	lp__	2351.60417763653	sd_h1__y1m1_logk_Intercept	FALSE
ftp_k1_student	ftp_k1	ftp	k1	student	student;student	28	8	1.00130197174967	z_4[1,1]	1868.05431685883	lp__	2169.40865470599	sd_h1__z1_logk_Intercept	FALSE
ftp_sp_k0_gamma	ftp_sp_k0	ftp_sp	k0	gamma	gamma;gamma	0	12	1.00487990835481	z_6[1,9]	515.005444785677	b_y2_logk_Intercept	783.670678838891	r_h2__y2_logL[mono_B.PxT,Intercept]	TRUE
ftp_sp_k0_lognormal	ftp_sp_k0	ftp_sp	k0	lognormal	lognormal;lognormal	0	7	1.0033977161688	sd_h1__y2_logA_Intercept	1616.46160517816	sd_h1__y1m1_logA_Intercept	1042.72098982113	r_h1__y2_logA[mono_N,Intercept]	TRUE
ftp_sp_k0_student	ftp_sp_k0	ftp_sp	k0	student	student;student	0	7	1.0044091387217	b_z1_logk_Intercept	1761.07363070947	lp__	1347.21948253907	r_h1__z2_logA[mono_B,Intercept]	TRUE
ftp_sp_k1_gamma	ftp_sp_k1	ftp_sp	k1	gamma	gamma;gamma	0	10	1.00783035002651	sd_h2__y2_logA_Intercept	456.352658515983	sd_h2__y2_logA_Intercept	767.12995213664	r_h2__y2_logL[mono_B.PxT,Intercept]	TRUE
ftp_sp_k1_lognormal	ftp_sp_k1	ftp_sp	k1	lognormal	lognormal;lognormal	11	9	1.00383763132355	lp__	1766.88219541143	lp__	2101.44270874195	sd_h1__y1m1_logk_Intercept	FALSE
ftp_sp_k1_student	ftp_sp_k1	ftp_sp	k1	student	student;student	11	9	1.00397024228525	lp__	1805.79686407898	lp__	1863.48226523466	sd_h1__z1_logk_Intercept	FALSE
ftp_sp_k2_gamma	ftp_sp_k2	ftp_sp	k2	gamma	gamma;gamma	0	11	1.01261874365535	r_h2__y2_logk[mono_N.CO,Intercept]	391.652872908715	r_h1__y2_logk[mono_B,Intercept]	294.479802682004	r_h1__y2_logA[mono_B,Intercept]	FALSE
ftp_sp_k2_lognormal	ftp_sp_k2	ftp_sp	k2	lognormal	lognormal;lognormal	7	9	1.00562422263501	r_h1__y1m1_logA[mono_B,Intercept]	1864.11838712386	lp__	2501.61679676679	sd_h1__y1m1_logk_Intercept	FALSE
