model	model_structure	hierarchy	k_depth	family	brms_family	response	n	observed_mean	yrep_median_mean	mean_residual	rmse	mean_abs_std_residual	prop_outside_yrep90	prop_pp_twotail_lt_0.10	prop_pp_twotail_lt_0.05
base_k0_gamma	base_k0	base	k0	gamma	gamma;gamma	befa.st	1132	1.44106132803971	1.37775138649151	0.0633099415482041	0.323015261774014	0.755764385750162	0.0918727915194346	0.0901060070671378	0.049469964664311
base_k0_lognormal	base_k0	base	k0	lognormal	lognormal;lognormal	befa.st	1132	1.44106132803971	1.35354599150008	0.0875153365396341	0.327919070779242	0.631370660112531	0.0989399293286219	0.0971731448763251	0.0512367491166078
base_k0_student	base_k0	base	k0	student	gaussian;gaussian	befa.st	1132	1.44106132803971	1.44096437585785	9.69521818670387e-05	0.315448411271568	0.701268107413552	0.0697879858657244	0.0697879858657244	0.0477031802120141
base_k0_gamma	base_k0	base	k0	gamma	gamma;gamma	befr.st	524	0.442216609003624	0.403985554471969	0.0382310545316548	0.26930107886781	0.744773669565067	0.0858778625954199	0.0858778625954199	0.0572519083969466
base_k0_lognormal	base_k0	base	k0	lognormal	lognormal;lognormal	befr.st	524	0.442216609003624	0.386152489170469	0.056064119833155	0.271519337527649	0.674312098677885	0.0858778625954199	0.083969465648855	0.0553435114503817
base_k0_student	base_k0	base	k0	student	gaussian;gaussian	befr.st	524	0.442216609003624	0.441853913720521	0.000362695283102765	0.266478526840708	0.658523291521907	0.0553435114503817	0.0534351145038168	0.0362595419847328
ftp_k0_gamma	ftp_k0	ftp	k0	gamma	gamma;gamma	befa.st	1132	1.44106132803971	1.37981268580982	0.0612486422298943	0.319029224240352	0.757709751756218	0.088339222614841	0.0856890459363958	0.0485865724381625
ftp_k0_lognormal	ftp_k0	ftp	k0	lognormal	lognormal;lognormal	befa.st	1132	1.44106132803971	2.00425424208224	-0.563192914042524	0.667651173608169	0.129656545555851	0.0742049469964664	0.0715547703180212	0.0185512367491166
ftp_k0_student	ftp_k0	ftp	k0	student	student;student	befa.st	1132	1.44106132803971	2.00428620285398	-0.563224874814267	0.667227535689219	0.116345231492399	0.0697879858657244	0.0680212014134276	0.0167844522968198
ftp_k0_gamma	ftp_k0	ftp	k0	gamma	gamma;gamma	befr.st	524	0.442216609003624	0.407450254994377	0.0347663540092468	0.258667238289733	0.741330218330232	0.0954198473282443	0.0954198473282443	0.0458015267175573
