model	model_structure	hierarchy	k_depth	family	brms_family	elpd_loo	p_loo	looic	n	n_pareto_k_gt_0.7	n_pareto_k_gt_1.0	max_pareto_k	elpd_diff_from_structure_best	looic_diff_from_structure_best	rank_within_structure	pareto_warning
base_k0_lognormal	base_k0	base	k0	lognormal	lognormal;lognormal	140.342829349459	7.89017007347526	-280.685658698918	1656	0	0	0.216895092213403	0	0	1	FALSE
base_k0_gamma	base_k0	base	k0	gamma	gamma;gamma	104.040959900455	8.79380213181188	-208.08191980091	1656	0	0	0.266627625545735	-36.3018694490035	72.6037388980071	2	FALSE
base_k0_student	base_k0	base	k0	student	gaussian;gaussian	-362.862739433261	20.2969028243621	725.725478866522	1656	1	0	0.784029257012103	-503.20556878272	1006.41113756544	3	TRUE
ftp_k0_gamma	ftp_k0	ftp	k0	gamma	gamma;gamma	149.17810322674	11.8973498278379	-298.35620645348	1656	0	0	0.335795695465015	0	0	1	FALSE
ftp_k0_lognormal	ftp_k0	ftp	k0	lognormal	lognormal;lognormal	-983.237850553379	1.08167750227116	1966.47570110676	1656	0	0	0.487374334808133	-1132.41595378012	2264.83190756024	2	FALSE
ftp_k0_student	ftp_k0	ftp	k0	student	student;student	-990.088841442046	1.0927865644656	1980.17768288409	1656	1	0	0.717641559825735	-1139.26694466879	2278.53388933757	3	TRUE
ftp_k1_gamma	ftp_k1	ftp	k1	gamma	gamma;gamma	149.12468289435	12.8065917489688	-298.249365788701	1656	0	0	0.341767516166775	0	0	1	FALSE
ftp_k1_lognormal	ftp_k1	ftp	k1	lognormal	lognormal;lognormal	-982.294103889763	1.13316821706533	1964.58820777953	1656	3	0	0.813722895891579	-1131.41878678411	2262.83757356823	2	TRUE
ftp_k1_student	ftp_k1	ftp	k1	student	student;student	-989.071805351012	1.13892267760487	1978.14361070202	1656	1	0	0.737675501864424	-1138.19648824536	2276.39297649072	3	TRUE
ftp_sp_k0_gamma	ftp_sp_k0	ftp_sp	k0	gamma	gamma;gamma	426.690804308388	61.8536537458237	-853.381608616777	1656	0	0	0.597846588769804	0	0	1	FALSE
ftp_sp_k0_lognormal	ftp_sp_k0	ftp_sp	k0	lognormal	lognormal;lognormal	-983.128599135503	1.14070170602851	1966.25719827101	1656	0	0	0.694822545707306	-1409.81940344389	2819.63880688778	2	FALSE
ftp_sp_k0_student	ftp_sp_k0	ftp_sp	k0	student	student;student	-989.930354422978	1.11417998910802	1979.86070884596	1656	1	0	0.704869366043452	-1416.62115873137	2833.24231746273	3	TRUE
ftp_sp_k1_gamma	ftp_sp_k1	ftp_sp	k1	gamma	gamma;gamma	425.88554317094	67.5206645578474	-851.77108634188	1656	0	0	0.65099059099273	0	0	1	FALSE
ftp_sp_k1_lognormal	ftp_sp_k1	ftp_sp	k1	lognormal	lognormal;lognormal	-982.120680390584	1.15863900464531	1964.24136078117	1656	3	0	0.993659039099884	-1408.00622356152	2816.01244712305	2	TRUE
ftp_sp_k1_student	ftp_sp_k1	ftp_sp	k1	student	student;student	-989.01012096991	1.15002286178128	1978.02024193982	1656	4	0	0.867498342667988	-1414.89566414085	2829.7913282817	3	TRUE
ftp_sp_k2_gamma	ftp_sp_k2	ftp_sp	k2	gamma	gamma;gamma	425.367188308444	71.6794145996222	-850.734376616887	1656	0	0	0.60931779257653	0	0	1	FALSE
ftp_sp_k2_lognormal	ftp_sp_k2	ftp_sp	k2	lognormal	lognormal;lognormal	-982.232618357185	1.14511266892093	1964.46523671437	1656	8	0	0.943143456074645	-1407.59980666563	2815.19961333126	2	TRUE
ftp_sp_k2_student	ftp_sp_k2	ftp_sp	k2	student	student;student	-989.091299450179	1.13518211201101	1978.18259890036	1656	3	0	0.956280672145739	-1414.45848775862	2828.91697551725	3	TRUE
PFT_k0_lognormal	PFT_k0	PFT	k0	lognormal	lognormal;lognormal	200.289743079337	18.8178265086524	-400.579486158673	1656	0	0	0.52485252507991	0	0	1	FALSE
PFT_k0_gamma	PFT_k0	PFT	k0	gamma	gamma;gamma	197.091156048842	20.7152720257892	-394.182312097683	1656	0	0	0.409568949637561	-3.19858703049482	6.39717406098964	2	FALSE
PFT_k0_student	PFT_k0	PFT	k0	student	student;student	-991.858893254103	1.19345320167207	1983.71778650821	1656	0	0	0.671240877136803	-1192.14863633344	2384.29727266688	3	FALSE
PFT_k1_gamma	PFT_k1	PFT	k1	gamma	gamma;gamma	209.041478348487	21.7033600064386	-418.082956696974	1656	0	0	0.412948039039893	0	0	1	FALSE
PFT_k1_lognormal	PFT_k1	PFT	k1	lognormal	lognormal;lognormal	207.764147715106	19.7030564683324	-415.528295430213	1656	0	0	0.370720019836726	-1.27733063338033	2.55466126676066	2	FALSE
PFT_k1_student	PFT_k1	PFT	k1	student	student;student	-990.96004974619	1.23650539278527	1981.92009949238	1656	3	0	0.926223465092578	-1200.00152809468	2400.00305618935	3	TRUE
PFT_sp_k0_gamma	PFT_sp_k0	PFT_sp	k0	gamma	gamma;gamma	425.977551350854	62.070411475153	-851.955102701709	1656	0	0	0.666877014108139	0	0	1	FALSE
PFT_sp_k0_lognormal	PFT_sp_k0	PFT_sp	k0	lognormal	lognormal;lognormal	401.343494384591	57.2219335639591	-802.686988769182	1656	0	0	0.50275177884986	-24.6340569662634	49.2681139325268	2	FALSE
PFT_sp_k0_student	PFT_sp_k0	PFT_sp	k0	student	student;student	-991.719709841207	1.20955060033726	1983.43941968241	1656	3	0	0.787808734352021	-1417.69726119206	2835.39452238412	3	TRUE
PFT_sp_k1_gamma	PFT_sp_k1	PFT_sp	k1	gamma	gamma;gamma	426.089505763836	67.4332485296386	-852.179011527671	1656	1	0	0.754356528665941	0	0	1	TRUE
PFT_sp_k1_lognormal	PFT_sp_k1	PFT_sp	k1	lognormal	lognormal;lognormal	404.237526442426	60.4135836964078	-808.475052884851	1656	0	0	0.623333267562305	-21.8519793214101	43.7039586428201	2	FALSE
PFT_sp_k1_student	PFT_sp_k1	PFT_sp	k1	student	student;student	-990.792160221584	1.2635774081585	1981.58432044317	1656	4	0	0.995305368538553	-1416.88166598542	2833.76333197084	3	TRUE
PFT_sp_k2_gamma	PFT_sp_k2	PFT_sp	k2	gamma	gamma;gamma	424.735309916696	70.5054097759143	-849.470619833393	1656	0	0	0.640240062537726	0	0	1	FALSE
PFT_sp_k2_lognormal	PFT_sp_k2	PFT_sp	k2	lognormal	lognormal;lognormal	403.641841698695	63.8425205746807	-807.283683397391	1656	0	0	0.564900039517904	-21.0934682180009	42.1869364360017	2	FALSE
PFT_sp_k2_student	PFT_sp_k2	PFT_sp	k2	student	student;student	-990.725322681888	1.24319112034069	1981.45064536378	1656	3	1	1.03477425780899	-1415.46063259858	2830.92126519717	3	TRUE
sp_k0_gamma	sp_k0	sp	k0	gamma	gamma;gamma	426.417862470429	62.8958178984534	-852.835724940858	1656	1	0	0.707991929866815	0	0	1	TRUE
sp_k0_lognormal	sp_k0	sp	k0	lognormal	lognormal;lognormal	-990.876564295434	1.19117953174511	1981.75312859087	1656	3	0	0.83336815254092	-1417.29442676586	2834.58885353173	2	TRUE
