model	model_structure	hierarchy	k_depth	family	brms_family	response	n	elpd_loo	elpd_loo_se	p_loo	looic	looic_se	max_pareto_k	n_pareto_k_gt_0.7	n_pareto_k_gt_1.0	elpd_diff_from_structure_response_best	looic_diff_from_structure_response_best	rank_within_structure_response	pareto_warning
base_k0_lognormal	base_k0	base	k0	lognormal	lognormal;lognormal	befa.st	1132	43.4362318786177	34.838564851303	3.70396051202114	-86.8724637572354	69.677129702606	0.149789580849498	0	0	0	0	1	FALSE
base_k0_gamma	base_k0	base	k0	gamma	gamma;gamma	befa.st	1132	20.3922119113103	35.1396735044593	3.9513380975865	-40.7844238226207	70.2793470089187	0.266627625545735	0	0	-23.0440199673073	46.0880399346147	2	FALSE
base_k0_student	base_k0	base	k0	student	gaussian;gaussian	befa.st	1132	-306.057280010102	52.9052321441127	9.21929733557798	612.114560020205	105.810464288225	0.430696785426813	0	0	-349.49351188872	698.98702377744	3	FALSE
base_k0_lognormal	base_k0	base	k0	lognormal	lognormal;lognormal	befr.st	524	96.9065974708411	24.1325848930025	4.18620956145412	-193.813194941682	48.265169786005	0.216895092213403	0	0	0	0	1	FALSE
base_k0_gamma	base_k0	base	k0	gamma	gamma;gamma	befr.st	524	83.6487479891449	25.9432988148973	4.84246403422538	-167.29749597829	51.8865976297946	0.237028648617807	0	0	-13.2578494816962	26.5156989633924	2	FALSE
base_k0_student	base_k0	base	k0	student	gaussian;gaussian	befr.st	524	-56.8054594231586	49.686742983488	11.0776054887841	113.610918846317	99.373485966976	0.784029257012103	1	0	-153.712056894	307.424113787999	3	TRUE
ftp_k0_gamma	ftp_k0	ftp	k0	gamma	gamma;gamma	befa.st	1132	38.4915003113849	33.6138247276058	6.01089277761715	-76.9830006227699	67.2276494552116	0.281527538522409	0	0	0	0	1	FALSE
ftp_k0_lognormal	ftp_k0	ftp	k0	lognormal	lognormal;lognormal	befa.st	1132	-690.8904200909	11.8892289826743	0.597044060864333	1381.7808401818	23.7784579653486	0.487374334808133	0	0	-729.381920402285	1458.76384080457	2	FALSE
ftp_k0_student	ftp_k0	ftp	k0	student	student;student	befa.st	1132	-694.891298115859	11.6227949311128	0.608224621452682	1389.78259623172	23.2455898622256	0.566350972015905	0	0	-733.382798427244	1466.76559685449	3	FALSE
ftp_k0_gamma	ftp_k0	ftp	k0	gamma	gamma;gamma	befr.st	524	110.686602915355	23.6422085461538	5.88645705022074	-221.373205830711	47.2844170923076	0.335795695465015	0	0	0	0	1	FALSE
ftp_k0_lognormal	ftp_k0	ftp	k0	lognormal	lognormal;lognormal	befr.st	524	-292.347430462478	5.4458361944652	0.484633441406831	584.694860924957	10.8916723889304	0.431146897218049	0	0	-403.034033377834	806.068066755668	2	FALSE
ftp_k0_student	ftp_k0	ftp	k0	student	student;student	befr.st	524	-295.197543326187	5.25849107973249	0.484561943012914	590.395086652374	10.516982159465	0.717641559825735	1	0	-405.884146241542	811.768292483085	3	TRUE
ftp_k1_gamma	ftp_k1	ftp	k1	gamma	gamma;gamma	befa.st	1132	38.6887608963663	33.4956000600837	6.36425222057476	-77.3775217927326	66.9912001201675	0.257533215237124	0	0	0	0	1	FALSE
ftp_k1_lognormal	ftp_k1	ftp	k1	lognormal	lognormal;lognormal	befa.st	1132	-690.267306464098	11.8779017347185	0.620414139846624	1380.5346129282	23.755803469437	0.813722895891579	3	0	-728.956067360464	1457.91213472093	2	TRUE
ftp_k1_student	ftp_k1	ftp	k1	student	student;student	befa.st	1132	-694.20026345774	11.6049346464092	0.619263611669191	1388.40052691548	23.2098692928184	0.737675501864424	1	0	-732.889024354106	1465.77804870821	3	TRUE
ftp_k1_gamma	ftp_k1	ftp	k1	gamma	gamma;gamma	befr.st	524	110.435921997984	23.8347055053659	6.442339528394	-220.871843995968	47.6694110107318	0.341767516166775	0	0	0	0	1	FALSE
ftp_k1_lognormal	ftp_k1	ftp	k1	lognormal	lognormal;lognormal	befr.st	524	-292.026797425665	5.45609009794278	0.512754077218705	584.05359485133	10.9121801958856	0.389478547234057	0	0	-402.462719423649	804.925438847299	2	FALSE
ftp_k1_student	ftp_k1	ftp	k1	student	student;student	befr.st	524	-294.871541893272	5.270019345626	0.519659065935679	589.743083786544	10.540038691252	0.384617986592398	0	0	-405.307463891256	810.614927782512	3	FALSE
ftp_sp_k0_gamma	ftp_sp_k0	ftp_sp	k0	gamma	gamma;gamma	befa.st	1132	248.836515432044	32.5253489021543	29.6852501926468	-497.673030864087	65.0506978043086	0.381510310881382	0	0	0	0	1	FALSE
ftp_sp_k0_lognormal	ftp_sp_k0	ftp_sp	k0	lognormal	lognormal;lognormal	befa.st	1132	-690.822318585772	11.8944883508869	0.608897163268152	1381.64463717154	23.7889767017738	0.606313035160903	0	0	-939.658834017816	1879.31766803563	2	FALSE
ftp_sp_k0_student	ftp_sp_k0	ftp_sp	k0	student	student;student	befa.st	1132	-694.816885543681	11.6263676723807	0.614251305957666	1389.63377108736	23.2527353447614	0.704869366043452	1	0	-943.653400975725	1887.30680195145	3	TRUE
ftp_sp_k0_gamma	ftp_sp_k0	ftp_sp	k0	gamma	gamma;gamma	befr.st	524	177.854288876345	25.0655994700193	32.1684035531769	-355.708577752689	50.1311989400385	0.597846588769804	0	0	0	0	1	FALSE
ftp_sp_k0_lognormal	ftp_sp_k0	ftp_sp	k0	lognormal	lognormal;lognormal	befr.st	524	-292.306280549731	5.44741378178374	0.531804542760354	584.612561099461	10.8948275635675	0.694822545707306	0	0	-470.160569426075	940.321138852151	2	FALSE
ftp_sp_k0_student	ftp_sp_k0	ftp_sp	k0	student	student;student	befr.st	524	-295.113468879297	5.26108576758196	0.49992868315035	590.226937758593	10.5221715351639	0.699086619489504	0	0	-472.967757755641	945.935515511283	3	FALSE
ftp_sp_k1_gamma	ftp_sp_k1	ftp_sp	k1	gamma	gamma;gamma	befa.st	1132	248.055719397224	32.5408139011204	30.3169271459804	-496.111438794448	65.0816278022407	0.359354102259107	0	0	0	0	1	FALSE
ftp_sp_k1_lognormal	ftp_sp_k1	ftp_sp	k1	lognormal	lognormal;lognormal	befa.st	1132	-690.159782389862	11.8801900681553	0.617077689179937	1380.31956477972	23.7603801363107	0.993659039099884	3	0	-938.215501787086	1876.43100357417	2	TRUE
ftp_sp_k1_student	ftp_sp_k1	ftp_sp	k1	student	student;student	befa.st	1132	-694.1863132212	11.6119158026909	0.62023807724562	1388.3726264424	23.2238316053817	0.867498342667988	4	0	-942.242032618424	1884.48406523685	3	TRUE
ftp_sp_k1_gamma	ftp_sp_k1	ftp_sp	k1	gamma	gamma;gamma	befr.st	524	177.829823773716	25.2714061098348	37.203737411867	-355.659647547432	50.5428122196696	0.65099059099273	0	0	0	0	1	FALSE
ftp_sp_k1_lognormal	ftp_sp_k1	ftp_sp	k1	lognormal	lognormal;lognormal	befr.st	524	-291.960898000722	5.4547691400055	0.541561315465375	583.921796001443	10.909538280011	0.651790997470628	0	0	-469.790721774438	939.581443548876	2	FALSE
ftp_sp_k1_student	ftp_sp_k1	ftp_sp	k1	student	student;student	befr.st	524	-294.82380774871	5.26801083982541	0.529784784535655	589.647615497419	10.5360216796508	0.643203016714663	0	0	-472.653631522426	945.307263044851	3	FALSE
ftp_sp_k2_gamma	ftp_sp_k2	ftp_sp	k2	gamma	gamma;gamma	befa.st	1132	248.297976275425	32.8024126765466	34.2436415961459	-496.59595255085	65.6048253530931	0.49002657978713	0	0	0	0	1	FALSE
ftp_sp_k2_lognormal	ftp_sp_k2	ftp_sp	k2	lognormal	lognormal;lognormal	befa.st	1132	-690.260758653249	11.8839195370895	0.621739837662441	1380.5215173065	23.767839074179	0.943143456074645	8	0	-938.558734928674	1877.11746985735	2	TRUE
ftp_sp_k2_student	ftp_sp_k2	ftp_sp	k2	student	student;student	befa.st	1132	-694.267435668262	11.6177077433757	0.619694516290702	1388.53487133652	23.2354154867515	0.956280672145739	3	0	-942.565411943687	1885.13082388737	3	TRUE
ftp_sp_k2_gamma	ftp_sp_k2	ftp_sp	k2	gamma	gamma;gamma	befr.st	524	177.069212033018	25.3786981615822	37.4357730034763	-354.138424066037	50.7573963231645	0.60931779257653	0	0	0	0	1	FALSE
ftp_sp_k2_lognormal	ftp_sp_k2	ftp_sp	k2	lognormal	lognormal;lognormal	befr.st	524	-291.971859703936	5.45422570431747	0.523372831258491	583.943719407872	10.9084514086349	0.657774239585856	0	0	-469.041071736954	938.082143473909	2	FALSE
ftp_sp_k2_student	ftp_sp_k2	ftp_sp	k2	student	student;student	befr.st	524	-294.823863781917	5.26554706088031	0.515487595720311	589.647727563835	10.5310941217606	0.586236020234744	0	0	-471.893075814936	943.786151629871	3	FALSE
PFT_k0_gamma	PFT_k0	PFT	k0	gamma	gamma;gamma	befa.st	1132	81.9104338172662	32.861475833813	10.4599500077318	-163.820867634532	65.7229516676261	0.386945417989175	0	0	0	0	1	FALSE
PFT_k0_lognormal	PFT_k0	PFT	k0	lognormal	lognormal;lognormal	befa.st	1132	80.623682406643	34.0055592061359	9.58039644451763	-161.247364813286	68.0111184122718	0.251187246176718	0	0	-1.2867514106232	2.57350282124639	2	FALSE
PFT_k0_student	PFT_k0	PFT	k0	student	student;student	befa.st	1132	-695.542727642634	11.5999963289199	0.649461692632856	1391.08545528527	23.1999926578398	0.671240877136803	0	0	-777.4531614599	1554.9063229198	3	FALSE
PFT_k0_lognormal	PFT_k0	PFT	k0	lognormal	lognormal;lognormal	befr.st	524	119.666060672694	23.5437002778589	9.23743006413475	-239.332121345387	47.0874005557178	0.52485252507991	0	0	0	0	1	FALSE
PFT_k0_gamma	PFT_k0	PFT	k0	gamma	gamma;gamma	befr.st	524	115.180722231576	23.5074596823637	10.2553220180574	-230.361444463151	47.0149193647274	0.409568949637561	0	0	-4.48533844111802	8.97067688223603	2	FALSE
PFT_k0_student	PFT_k0	PFT	k0	student	student;student	befr.st	524	-296.316165611469	5.26051658452011	0.543991509039214	592.632331222938	10.5210331690402	0.61712912681276	0	0	-415.982226284162	831.964452568325	3	FALSE
PFT_k1_gamma	PFT_k1	PFT	k1	gamma	gamma;gamma	befa.st	1132	92.3846701854831	33.0157709146199	11.4608468364164	-184.769340370966	66.0315418292397	0.266753976374989	0	0	0	0	1	FALSE
PFT_k1_lognormal	PFT_k1	PFT	k1	lognormal	lognormal;lognormal	befa.st	1132	86.7763879334806	34.1128049148903	11.094123511884	-173.552775866961	68.2256098297805	0.368368026568787	0	0	-5.60828225200244	11.2165645040049	2	FALSE
PFT_k1_student	PFT_k1	PFT	k1	student	student;student	befa.st	1132	-695.081266135365	11.599164574818	0.658478620092671	1390.16253227073	23.198329149636	0.926223465092578	3	0	-787.465936320848	1574.9318726417	3	TRUE
PFT_k1_lognormal	PFT_k1	PFT	k1	lognormal	lognormal;lognormal	befr.st	524	120.987759781626	23.5008595364872	8.60893295644841	-241.975519563252	47.0017190729745	0.370720019836726	0	0	0	0	1	FALSE
PFT_k1_gamma	PFT_k1	PFT	k1	gamma	gamma;gamma	befr.st	524	116.656808163004	23.6226578199414	10.2425131700222	-233.313616326007	47.2453156398829	0.412948039039893	0	0	-4.33095161862212	8.66190323724425	2	FALSE
PFT_k1_student	PFT_k1	PFT	k1	student	student;student	befr.st	524	-295.878783610825	5.26495591442775	0.578026772692596	591.75756722165	10.5299118288555	0.541946564169256	0	0	-416.866543392451	833.733086784902	3	FALSE
PFT_sp_k0_gamma	PFT_sp_k0	PFT_sp	k0	gamma	gamma;gamma	befa.st	1132	248.207913004031	32.5340649974604	30.1160142853694	-496.415826008062	65.0681299949208	0.444269361392589	0	0	0	0	1	FALSE
PFT_sp_k0_lognormal	PFT_sp_k0	PFT_sp	k0	lognormal	lognormal;lognormal	befa.st	1132	215.154469085783	36.6101120014874	30.3893724557228	-430.308938171567	73.2202240029748	0.353192255413684	0	0	-33.0534439182474	66.1068878364949	2	FALSE
PFT_sp_k0_student	PFT_sp_k0	PFT_sp	k0	student	student;student	befa.st	1132	-695.520991326357	11.6035792169963	0.656276404103401	1391.04198265271	23.2071584339925	0.787808734352021	3	0	-943.728904330388	1887.45780866078	3	TRUE
PFT_sp_k0_lognormal	PFT_sp_k0	PFT_sp	k0	lognormal	lognormal;lognormal	befr.st	524	186.189025298808	24.44755065537	26.8325611082363	-372.378050597615	48.89510131074	0.50275177884986	0	0	0	0	1	FALSE
