model	model_structure	hierarchy	k_depth	family	response	n	observed_mean	yrep_median_mean	mean_residual	rmse	mean_abs_std_residual	prop_outside_yrep90	prop_pp_twotail_lt_0.10	prop_pp_twotail_lt_0.05
base_k0_gamma	base_k0	base	k0	gamma	befa.st	1132	1.44106132803971	1.37743991107284	0.0636214169668684	0.32307628802581	0.756822004513459	0.0865724381625442	0.0856890459363958	0.049469964664311
ftp_k0_gamma	ftp_k0	ftp	k0	gamma	befa.st	1132	1.44106132803971	1.37998491221101	0.0610764158287077	0.319080879676738	0.758783663150077	0.0892226148409894	0.0874558303886926	0.0512367491166078
ftp_k1_gamma	ftp_k1	ftp	k1	gamma	befa.st	1132	1.44106132803971	1.38009413782199	0.060967190217726	0.318619946102402	0.756281546269912	0.0874558303886926	0.0848056537102474	0.049469964664311
ftp_sp_k0_gamma	ftp_sp_k0	ftp_sp	k0	gamma	befa.st	1132	1.44106132803971	1.39559849734164	0.0454628306980767	0.263757009474049	0.717310458020288	0.0989399293286219	0.0971731448763251	0.0477031802120141
ftp_sp_k1_gamma	ftp_sp_k1	ftp_sp	k1	gamma	befa.st	1132	1.44106132803971	1.3955845779693	0.0454767500704155	0.263416688218519	0.712805553444945	0.0936395759717314	0.0936395759717314	0.0459363957597173
ftp_sp_k2_gamma	ftp_sp_k2	ftp_sp	k2	gamma	befa.st	1132	1.44106132803971	1.39570589676268	0.0453554312770329	0.262588428387394	0.70863824443156	0.0936395759717314	0.092756183745583	0.0477031802120141
PFT_k0_gamma	PFT_k0	PFT	k0	gamma	befa.st	1132	1.44106132803971	1.38275895481611	0.0583023732236035	0.312109354365513	0.749198944117516	0.092756183745583	0.0909893992932862	0.0477031802120141
PFT_k1_gamma	PFT_k1	PFT	k1	gamma	befa.st	1132	1.44106132803971	1.38383691914176	0.0572244088979535	0.308044264008038	0.746731803081965	0.0936395759717314	0.0936395759717314	0.0512367491166078
PFT_sp_k0_gamma	PFT_sp_k0	PFT_sp	k0	gamma	befa.st	1132	1.44106132803971	1.39588269856807	0.0451786294716395	0.263517990197411	0.713350012055774	0.0971731448763251	0.0954063604240283	0.0424028268551237
PFT_sp_k1_gamma	PFT_sp_k1	PFT_sp	k1	gamma	befa.st	1132	1.44106132803971	1.39532877361443	0.0457325544252798	0.263312941238617	0.711884064296061	0.0980565371024735	0.0980565371024735	0.0485865724381625
PFT_sp_k2_gamma	PFT_sp_k2	PFT_sp	k2	gamma	befa.st	1132	1.44106132803971	1.39546092380388	0.0456004042358353	0.262102390410168	0.708843478339692	0.0936395759717314	0.0918727915194346	0.0441696113074205
sp_k0_gamma	sp_k0	sp	k0	gamma	befa.st	1132	1.44106132803971	1.39535874569047	0.0457025823492391	0.26348157860203	0.714420874373522	0.0945229681978799	0.0918727915194346	0.049469964664311
sp_k1_gamma	sp_k1	sp	k1	gamma	befa.st	1132	1.44106132803971	1.39505842347031	0.0460029045694019	0.263815469830331	0.711542425879851	0.0980565371024735	0.0954063604240283	0.0441696113074205
base_k0_gamma	base_k0	base	k0	gamma	befr.st	524	0.442216609003624	0.403645940824031	0.0385706681795931	0.269333728432331	0.741839592457611	0.083969465648855	0.083969465648855	0.0572519083969466
