model	model_structure	hierarchy	k_depth	family	elpd_loo	p_loo	looic	n	n_pareto_k_gt_0.7	n_pareto_k_gt_1.0	max_pareto_k	elpd_diff_from_best	looic_diff_from_best	rank
ftp_sp_k0_gamma	ftp_sp_k0	ftp_sp	k0	gamma	426.690804308388	61.8536537458237	-853.381608616777	1656	0	0	0.597846588769804	0	0	1
sp_k1_gamma	sp_k1	sp	k1	gamma	426.657359764156	66.0009049617164	-853.314719528312	1656	1	0	0.765412548387542	-0.0334445442323954	0.0668890884647908	2
sp_k0_gamma	sp_k0	sp	k0	gamma	426.417862470429	62.8958178984534	-852.835724940858	1656	1	0	0.707991929866815	-0.272941837959479	0.545883675918958	3
PFT_sp_k1_gamma	PFT_sp_k1	PFT_sp	k1	gamma	426.089505763836	67.4332485296386	-852.179011527671	1656	1	0	0.754356528665941	-0.601298544552776	1.20259708910555	4
PFT_sp_k0_gamma	PFT_sp_k0	PFT_sp	k0	gamma	425.977551350854	62.070411475153	-851.955102701709	1656	0	0	0.666877014108139	-0.713252957533882	1.42650591506776	5
ftp_sp_k1_gamma	ftp_sp_k1	ftp_sp	k1	gamma	425.88554317094	67.5206645578474	-851.77108634188	1656	0	0	0.65099059099273	-0.805261137448497	1.61052227489699	6
ftp_sp_k2_gamma	ftp_sp_k2	ftp_sp	k2	gamma	425.367188308444	71.6794145996222	-850.734376616887	1656	0	0	0.60931779257653	-1.32361599994476	2.64723199988953	7
PFT_sp_k2_gamma	PFT_sp_k2	PFT_sp	k2	gamma	424.735309916696	70.5054097759143	-849.470619833393	1656	0	0	0.640240062537726	-1.95549439169201	3.91098878338403	8
PFT_k1_gamma	PFT_k1	PFT	k1	gamma	209.041478348487	21.7033600064386	-418.082956696974	1656	0	0	0.412948039039893	-217.649325959902	435.298651919803	9
PFT_k0_gamma	PFT_k0	PFT	k0	gamma	197.091156048842	20.7152720257892	-394.182312097683	1656	0	0	0.409568949637561	-229.599648259547	459.199296519093	10
ftp_k0_gamma	ftp_k0	ftp	k0	gamma	149.17810322674	11.8973498278379	-298.35620645348	1656	0	0	0.335795695465015	-277.512701081648	555.025402163296	11
ftp_k1_gamma	ftp_k1	ftp	k1	gamma	149.12468289435	12.8065917489688	-298.249365788701	1656	0	0	0.341767516166775	-277.566121414038	555.132242828076	12
base_k0_gamma	base_k0	base	k0	gamma	104.040959900455	8.79380213181188	-208.08191980091	1656	0	0	0.266627625545735	-322.649844407933	645.299688815866	13
