model	model_structure	hierarchy	k_depth	family	response	n	observed_mean	predicted_mean	mean_residual	mean_abs_error	rmse	residual_sd	lm_intercept_observed_vs_predicted	lm_slope_observed_vs_predicted	lm_r2_observed_vs_predicted	correlation_observed_predicted
base_k0_gamma	base_k0	base	k0	gamma	befa.st	1132	1.44106132803971	1.43972143493744	0.00133989310227249	0.221215817532579	0.315230459513043	0.315366939007617	-0.050604004295592	1.03607913040492	0.214548585133692	0.463193895829481
ftp_k0_gamma	ftp_k0	ftp	k0	gamma	befa.st	1132	1.44106132803971	1.44051925884552	0.000542069194188429	0.218981494424058	0.311210118855603	0.31134719799602	-0.0555648023616706	1.03894906035538	0.234520093621784	0.484272747139238
ftp_k1_gamma	ftp_k1	ftp	k1	gamma	befa.st	1132	1.44106132803971	1.44022288537091	0.000838442668798396	0.219351112479077	0.311341870085643	0.311478350295938	-0.076031374724665	1.05337355639483	0.234146316662831	0.48388667750087
ftp_sp_k0_gamma	ftp_sp_k0	ftp_sp	k0	gamma	befa.st	1132	1.44106132803971	1.44058069460344	0.000480633436270626	0.175687731545671	0.257586653083293	0.257700054935374	-0.0445438443920288	1.0312543948402	0.475798902564014	0.689781778944628
ftp_sp_k1_gamma	ftp_sp_k1	ftp_sp	k1	gamma	befa.st	1132	1.44106132803971	1.44071955639006	0.000341771649657005	0.175700018933994	0.257586201087903	0.257699824512295	-0.0447933112858481	1.03132815316855	0.475801845859257	0.689783912438713
ftp_sp_k2_gamma	ftp_sp_k2	ftp_sp	k2	gamma	befa.st	1132	1.44106132803971	1.44042464778612	0.000636680253592587	0.174267747640677	0.256072004027642	0.256184393178829	-0.0752881542328268	1.05271003561562	0.482725268675152	0.694784332491136
PFT_k0_gamma	PFT_k0	PFT	k0	gamma	befa.st	1132	1.44106132803971	1.4398020352133	0.00125929282641301	0.2130958997444	0.304596555837838	0.304728579849005	-0.125984131197437	1.08837563839462	0.268171733397978	0.517853003658354
PFT_k1_gamma	PFT_k1	PFT	k1	gamma	befa.st	1132	1.44106132803971	1.44009768829344	0.000963639746269616	0.209015762114981	0.300404372923368	0.300535602070231	-0.10628533459227	1.07447340219373	0.287835626449731	0.536503146728639
PFT_sp_k0_gamma	PFT_sp_k0	PFT_sp	k0	gamma	befa.st	1132	1.44106132803971	1.4407587677255	0.000302560314214337	0.17579855407736	0.257812286657173	0.257926059228565	-0.0423201052555603	1.02958348512226	0.474833273152673	0.689081470620618
PFT_sp_k1_gamma	PFT_sp_k1	PFT_sp	k1	gamma	befa.st	1132	1.44106132803971	1.44032044065588	0.000740887383830884	0.175240574197963	0.257376072870006	0.257488763416441	-0.0544749236242489	1.03833578240613	0.476871863895349	0.690559095150697
PFT_sp_k2_gamma	PFT_sp_k2	PFT_sp	k2	gamma	befa.st	1132	1.44106132803971	1.44020803398122	0.000853294058493437	0.174062150179456	0.255863659179218	0.255975324612941	-0.0815615878662732	1.05722428981107	0.483778283266249	0.695541719285225
