model	model_structure	hierarchy	k_depth	family	response	response_offset	h1	h2	ftp	PFT	sp_code	application_group	is_best_gamma_model	L_mean	L_median	L_sd	L_q025	L_q05	L_q95	L_q975	A_mean	A_median	A_sd	A_q025	A_q05	A_q95	A_q975	k_mean	k_median	k_sd	k_q025	k_q05	k_q95	k_q975	equation
base_k0_gamma	base_k0	base	k0	gamma	befa.st	1	all	all	NA	NA	NA	population	FALSE	0.362015038955711	0.362058528241743	0.0108433324967248	0.340463005321619	0.343882358981365	0.379823044345791	0.383069691487677	1.32856025663112	1.30771717169039	0.233660396722652	0.932160434270349	0.988125791660851	1.74745624145604	1.85133317767329	8.73228778348634	8.68851596805588	1.00492178519495	6.84799576244312	7.11789013456612	10.4563870803447	10.8056511036111	befa.st = 1 + L + A * exp(-k * rsd)
base_k0_gamma	base_k0	base	k0	gamma	befr.st	0	all	all	NA	NA	NA	population	FALSE	0.21562767175012	0.221341250287885	0.105577791233519	0.0351194362949785	0.046616974799262	0.368898999363713	0.380352931358298	0.370293883743571	0.365651933295736	0.0884371649207423	0.211687837760582	0.232857439572722	0.515824079424519	0.535475867652593	1.31027669723495	0.960076014978088	0.938204383496596	0.396697358027052	0.443404821640509	3.28310652537241	3.81395259420627	befr.st = L + A * exp(-k * rsd)
ftp_k0_gamma	ftp_k0	ftp	k0	gamma	befa.st	1	mono_B	all	mono_B	NA	NA	mono_B	FALSE	0.411074091161414	0.410772327774692	0.0147941107220944	0.382255681057921	0.386933786320323	0.435669539037955	0.439797434705307	0.699646449099217	0.672639777461783	0.231188405594558	0.324712945814108	0.371124596487067	1.12054853017719	1.22624700765665	7.24872086296756	7.20463163183852	0.955689431181298	5.48673905245601	5.75756372026099	8.87228139078956	9.2379406747937	befa.st = 1 + L + A * exp(-k * rsd)
ftp_k0_gamma	ftp_k0	ftp	k0	gamma	befr.st	0	mono_B	all	mono_B	NA	NA	mono_B	FALSE	0.255526831833704	0.266315939403248	0.106084128788213	0.0353074680452437	0.059703772529791	0.411022684973262	0.427680078145238	0.419506001043063	0.411171657381536	0.114320189249755	0.21323638553025	0.241966528397148	0.626533603371794	0.658500172292184	1.14901815628471	0.966025790700804	0.589643504990978	0.508142056761106	0.557129975493851	2.31707108751103	2.74247411470819	befr.st = L + A * exp(-k * rsd)
ftp_k0_gamma	ftp_k0	ftp	k0	gamma	befa.st	1	mono_N	all	mono_N	NA	NA	mono_N	FALSE	0.28938943878982	0.289513050295668	0.0167180713111763	0.255295829584788	0.261446042831358	0.316298717651852	0.320884653290507	1.40786268668418	1.38269368930253	0.236568043782586	1.01105738473913	1.06625983653546	1.83352203309604	1.9411994702677	7.24872086296756	7.20463163183852	0.955689431181298	5.48673905245601	5.75756372026099	8.87228139078956	9.2379406747937	befa.st = 1 + L + A * exp(-k * rsd)
ftp_k0_gamma	ftp_k0	ftp	k0	gamma	befr.st	0	mono_N	all	mono_N	NA	NA	mono_N	FALSE	0.123039544831613	0.112890355644078	0.0799733960998691	0.00461295848492214	0.0107317852870022	0.263334933394146	0.281073978706639	0.412127922334673	0.416518583818885	0.0756479710223429	0.260292231330685	0.281473232968329	0.528965903176972	0.547245231277667	1.14901815628471	0.966025790700804	0.589643504990978	0.508142056761106	0.557129975493851	2.31707108751103	2.74247411470819	befr.st = L + A * exp(-k * rsd)
ftp_k1_gamma	ftp_k1	ftp	k1	gamma	befa.st	1	mono_B	all	mono_B	NA	NA	mono_B	FALSE	0.416743610010059	0.416620689559343	0.0160699319963853	0.386552430369868	0.391310231364144	0.442718467299118	0.447926564730224	0.984868722505447	0.936851328147216	0.400548960647542	0.373605206206124	0.436967653306314	1.67258494834233	1.88233535537034	9.27725476147191	9.10256726099207	2.31701979105589	5.42038441074415	5.93508292403578	13.1767340770546	14.2572082720084	befa.st = 1 + L + A * exp(-k * rsd)
ftp_k1_gamma	ftp_k1	ftp	k1	gamma	befr.st	0	mono_B	all	mono_B	NA	NA	mono_B	FALSE	0.217482527350513	0.209000997781668	0.126731169822021	0.0178957368732252	0.0302292223140595	0.42604637846899	0.445181378431988	0.444582433762022	0.447884880724967	0.111647872280793	0.228325160917034	0.258817657546002	0.62090036271172	0.645788398060632	1.07826586185777	0.745615557401698	0.956092105918547	0.263948669226957	0.312835838264953	3.0484539655642	3.87325050750498	befr.st = L + A * exp(-k * rsd)
ftp_k1_gamma	ftp_k1	ftp	k1	gamma	befa.st	1	mono_N	all	mono_N	NA	NA	mono_N	FALSE	0.285309351789623	0.285848272407021	0.0181391838772505	0.247308076054944	0.254782185488662	0.314094011454649	0.319173325383017	1.34694541319283	1.32834637122156	0.227680816192547	0.965758825578049	1.01444431230926	1.74860942541136	1.84788704729963	6.9291248744615	6.89827842177296	0.990981567194224	5.07660576842154	5.38086907108081	8.60602793728791	8.98221384977974	befa.st = 1 + L + A * exp(-k * rsd)
ftp_k1_gamma	ftp_k1	ftp	k1	gamma	befr.st	0	mono_N	all	mono_N	NA	NA	mono_N	FALSE	0.121674053392511	0.111701015368823	0.0790742095665152	0.0058529532267348	0.0124561632556314	0.263847971014588	0.28434452741157	0.424443437765526	0.430468637488122	0.0776596164850652	0.265697976742257	0.288983204523688	0.542197872567036	0.55811652733972	1.19900359442926	1.0271053230055	0.591279855924907	0.557144388100665	0.610757466163776	2.35552741617038	2.84275471528018	befr.st = L + A * exp(-k * rsd)
