model	model_structure	hierarchy	k_depth	response	estimate_level	application_group	parameter	mean	median	sd	q025	q05	q95	q975
ftp_sp_k0_gamma	ftp_sp_k0	ftp_sp	k0	befa.st	grand	population	A	0.942957520269712	0.942800177226792	0.3600010998875	0.280758125918498	0.362160757121233	1.53993802403786	1.68507192099685
ftp_sp_k0_gamma	ftp_sp_k0	ftp_sp	k0	befa.st	grand	population	k	6.92212549047735	6.89114290446141	0.7944944625548	5.43796243082216	5.66657824388115	8.28599740105341	8.55759461445862
ftp_sp_k0_gamma	ftp_sp_k0	ftp_sp	k0	befa.st	grand	population	L	0.274936778244447	0.280966467430439	0.107298827423925	0.0761238359912449	0.0999909611673964	0.432578439722759	0.490986860594555
ftp_sp_k0_gamma	ftp_sp_k0	ftp_sp	k0	befa.st	group	mono_B.BP	A	0.934171162774147	0.904317831120135	0.263970286709941	0.514857955708573	0.56182132823133	1.40731543470474	1.54347137021124
ftp_sp_k0_gamma	ftp_sp_k0	ftp_sp	k0	befa.st	group	mono_B.BP	k	6.92212549047735	6.89114290446141	0.7944944625548	5.43796243082216	5.66657824388115	8.28599740105341	8.55759461445862
ftp_sp_k0_gamma	ftp_sp_k0	ftp_sp	k0	befa.st	group	mono_B.BP	L	0.243320605484619	0.241238271617932	0.029960236787793	0.191119849871904	0.19786881483936	0.295747758125644	0.30768537433174
ftp_sp_k0_gamma	ftp_sp_k0	ftp_sp	k0	befa.st	group	mono_B.CJa	A	1.07005235779988	0.97008083169758	0.523844601143974	0.385231776988196	0.466237387280711	1.97899506072207	2.36677020258822
ftp_sp_k0_gamma	ftp_sp_k0	ftp_sp	k0	befa.st	group	mono_B.CJa	k	6.92212549047735	6.89114290446141	0.7944944625548	5.43796243082216	5.66657824388115	8.28599740105341	8.55759461445862
ftp_sp_k0_gamma	ftp_sp_k0	ftp_sp	k0	befa.st	group	mono_B.CJa	L	0.720346357129757	0.711039930302278	0.0980906387882838	0.554433121437356	0.575145249686366	0.893854172480678	0.934968368016513
ftp_sp_k0_gamma	ftp_sp_k0	ftp_sp	k0	befa.st	group	mono_B.CL	A	0.979024997706736	0.919811958242087	0.402759313388802	0.378351931524345	0.445598591987732	1.71963509664459	1.95856071581597
ftp_sp_k0_gamma	ftp_sp_k0	ftp_sp	k0	befa.st	group	mono_B.CL	k	6.92212549047735	6.89114290446141	0.7944944625548	5.43796243082216	5.66657824388115	8.28599740105341	8.55759461445862
ftp_sp_k0_gamma	ftp_sp_k0	ftp_sp	k0	befa.st	group	mono_B.CL	L	0.541482659310218	0.538213849221089	0.0678429173619403	0.414110063999778	0.43546810048107	0.65861612114071	0.685007615082148
ftp_sp_k0_gamma	ftp_sp_k0	ftp_sp	k0	befa.st	group	mono_B.CS	A	1.02484981154518	0.962119978399174	0.413888329656151	0.417889268827566	0.488914369798584	1.77141788502032	2.00457640635772
ftp_sp_k0_gamma	ftp_sp_k0	ftp_sp	k0	befa.st	group	mono_B.CS	k	6.92212549047735	6.89114290446141	0.7944944625548	5.43796243082216	5.66657824388115	8.28599740105341	8.55759461445862
ftp_sp_k0_gamma	ftp_sp_k0	ftp_sp	k0	befa.st	group	mono_B.CS	L	0.281324520317963	0.279946122632529	0.0278938278225654	0.231014385850575	0.237843700056708	0.328953405479508	0.339278223351797
ftp_sp_k0_gamma	ftp_sp_k0	ftp_sp	k0	befa.st	group	mono_B.LT	A	1.29441029549261	1.20250395702436	0.507967466657435	0.58294005370702	0.66329625755823	2.23788572405873	2.57393324287921
ftp_sp_k0_gamma	ftp_sp_k0	ftp_sp	k0	befa.st	group	mono_B.LT	k	6.92212549047735	6.89114290446141	0.7944944625548	5.43796243082216	5.66657824388115	8.28599740105341	8.55759461445862
ftp_sp_k0_gamma	ftp_sp_k0	ftp_sp	k0	befa.st	group	mono_B.LT	L	0.150698737699172	0.149356909752036	0.0197123548558343	0.115507504934541	0.120079812288352	0.184722111413001	0.192110108368182
ftp_sp_k0_gamma	ftp_sp_k0	ftp_sp	k0	befa.st	group	mono_B.MT	A	1.07832910259798	0.981166581793859	0.546841114634511	0.392987502309412	0.461006006859759	2.02715791001288	2.38641333256995
ftp_sp_k0_gamma	ftp_sp_k0	ftp_sp	k0	befa.st	group	mono_B.MT	k	6.92212549047735	6.89114290446141	0.7944944625548	5.43796243082216	5.66657824388115	8.28599740105341	8.55759461445862
ftp_sp_k0_gamma	ftp_sp_k0	ftp_sp	k0	befa.st	group	mono_B.MT	L	0.968279548525756	0.956482299766823	0.1366105411808	0.733381680331312	0.766317514364244	1.21034198689913	1.26936638052362
ftp_sp_k0_gamma	ftp_sp_k0	ftp_sp	k0	befa.st	group	mono_B.NS	A	1.0626016954991	0.966012043942439	0.518031267193802	0.387160371192654	0.456831092225415	1.9464823855578	2.29161709421948
ftp_sp_k0_gamma	ftp_sp_k0	ftp_sp	k0	befa.st	group	mono_B.NS	k	6.92212549047735	6.89114290446141	0.7944944625548	5.43796243082216	5.66657824388115	8.28599740105341	8.55759461445862
ftp_sp_k0_gamma	ftp_sp_k0	ftp_sp	k0	befa.st	group	mono_B.NS	L	0.502706035694338	0.494537257099834	0.0822608339805676	0.365322869584233	0.383045926108587	0.649225637010591	0.68556910735344
ftp_sp_k0_gamma	ftp_sp_k0	ftp_sp	k0	befa.st	group	mono_B.PxT	A	1.0368058808274	0.94566873415311	0.485944755955367	0.374230206893183	0.450478344395742	1.90822545010738	2.23800009427543
ftp_sp_k0_gamma	ftp_sp_k0	ftp_sp	k0	befa.st	group	mono_B.PxT	k	6.92212549047735	6.89114290446141	0.7944944625548	5.43796243082216	5.66657824388115	8.28599740105341	8.55759461445862
ftp_sp_k0_gamma	ftp_sp_k0	ftp_sp	k0	befa.st	group	mono_B.PxT	L	0.169355263940904	0.167951310599744	0.0196016825554216	0.134922442447022	0.139724913484739	0.203567059347129	0.212022653713269
ftp_sp_k0_gamma	ftp_sp_k0	ftp_sp	k0	befa.st	group	mono_B.QAc	A	0.868230075286188	0.835504784479707	0.29564242572697	0.382853392522838	0.446580142524608	1.39165348396672	1.55258685891959
