model	model_structure	hierarchy	k_depth	family	variable	mean	median	sd	mad	q5	q95
base_k0_gamma	base_k0	base	k0	gamma	b_y1m1_logL_Intercept	-1.01651919864625	-1.0159494	0.0300135667982116	0.029864671557	-1.06745566	-0.9680498075
base_k0_gamma	base_k0	base	k0	gamma	b_y1m1_logA_Intercept	0.269000684164784	0.268283	0.173462912471622	0.170647808562	-0.01194527455	0.558161154
base_k0_gamma	base_k0	base	k0	gamma	b_y1m1_logk_Intercept	2.1603924889	2.16200215	0.115467584662556	0.11451587574	1.96261135	2.347212995
base_k0_gamma	base_k0	base	k0	gamma	b_y2_logL_Intercept	-1.70922217755375	-1.50804965	0.668165120025728	0.58567674123	-3.06579054	-0.997232387
base_k0_gamma	base_k0	base	k0	gamma	b_y2_logA_Intercept	-1.02362866412625	-1.0060734	0.250401562364594	0.274939459725	-1.45732886	-0.661989503
base_k0_gamma	base_k0	base	k0	gamma	b_y2_logk_Intercept	0.0596545101125263	-0.040742849	0.631420003902253	0.688218627873	-0.8132721615	1.18879007
base_k0_gamma	base_k0	base	k0	gamma	shape_y1m1	2.3169155623375	2.3147318	0.0885653162424933	0.0905904923700002	2.175333485	2.460720405
base_k0_gamma	base_k0	base	k0	gamma	shape_y2	3.77958348985	3.77191765	0.224966257916727	0.22378171662	3.418791615	4.156317525
ftp_k0_gamma	ftp_k0	ftp	k0	gamma	b_y1m1_logL_Intercept	-1.37484414074713	-1.24720735	0.497552325871984	0.35231898534	-2.37170636	-0.789210285
ftp_k0_gamma	ftp_k0	ftp	k0	gamma	b_y1m1_logA_Intercept	-0.35875377154847	-0.30483858	0.504206450706542	0.4872501103722	-1.269207125	0.372395247
ftp_k0_gamma	ftp_k0	ftp	k0	gamma	b_y1m1_logk_Intercept	1.9720933480375	1.9747241	0.132625429884381	0.13212842244	1.75051442	2.182931965
ftp_k0_gamma	ftp_k0	ftp	k0	gamma	b_y2_logL_Intercept	-2.04242972883025	-1.96140085	0.674177869800769	0.67375326291	-3.253628735	-1.08731868
ftp_k0_gamma	ftp_k0	ftp	k0	gamma	b_y2_logA_Intercept	-0.90418779639447	-0.889358645	0.329965384525952	0.275479489362	-1.446712705	-0.384774992
