model	model_structure	hierarchy	k_depth	family	response	n	observed_mean	yrep_median_mean	mean_residual	rmse	mean_abs_std_residual	prop_outside_yrep90	prop_pp_twotail_lt_0.10	prop_pp_twotail_lt_0.05
base_k0_gamma	base_k0	base	k0	gamma	befa.st	1132	1.44106132803971	1.37848779990359	0.0625735281361187	0.322603701744369	0.756082903657893	0.0892226148409894	0.0874558303886926	0.0512367491166078
ftp_k0_gamma	ftp_k0	ftp	k0	gamma	befa.st	1132	1.44106132803971	1.38085797267591	0.0602033553638055	0.317697073234613	0.756116199972886	0.0909893992932862	0.0892226148409894	0.0477031802120141
ftp_k1_gamma	ftp_k1	ftp	k1	gamma	befa.st	1132	1.44106132803971	1.37989466946124	0.0611666585784752	0.319287272731789	0.755751979963803	0.0909893992932862	0.088339222614841	0.0503533568904594
ftp_sp_k0_gamma	ftp_sp_k0	ftp_sp	k0	gamma	befa.st	1132	1.44106132803971	1.39615334959065	0.0449079784490624	0.262797257691483	0.714353861219516	0.0954063604240283	0.0945229681978799	0.0503533568904594
ftp_sp_k1_gamma	ftp_sp_k1	ftp_sp	k1	gamma	befa.st	1132	1.44106132803971	1.39617800376852	0.0448833242711954	0.263723149732252	0.716671610012153	0.0989399293286219	0.0971731448763251	0.0530035335689046
ftp_sp_k2_gamma	ftp_sp_k2	ftp_sp	k2	gamma	befa.st	1132	1.44106132803971	1.39558311464165	0.0454782133980595	0.262564601927058	0.709711362334162	0.0954063604240283	0.0945229681978799	0.049469964664311
PFT_k0_gamma	PFT_k0	PFT	k0	gamma	befa.st	1132	1.44106132803971	1.38353022162082	0.0575311064188884	0.312305856636833	0.752457053482827	0.0971731448763251	0.0945229681978799	0.0530035335689046
PFT_k1_gamma	PFT_k1	PFT	k1	gamma	befa.st	1132	1.44106132803971	1.384606773065	0.0564545549747079	0.307984006634595	0.746930879059732	0.0954063604240283	0.0945229681978799	0.0521201413427562
PFT_sp_k0_gamma	PFT_sp_k0	PFT_sp	k0	gamma	befa.st	1132	1.44106132803971	1.39618436892708	0.0448769591126326	0.263180643037755	0.71472913437216	0.0962897526501767	0.0954063604240283	0.0468197879858657
PFT_sp_k1_gamma	PFT_sp_k1	PFT_sp	k1	gamma	befa.st	1132	1.44106132803971	1.39620162277162	0.0448597052680934	0.264082725406587	0.712739775505256	0.0980565371024735	0.0980565371024735	0.0503533568904594
PFT_sp_k2_gamma	PFT_sp_k2	PFT_sp	k2	gamma	befa.st	1132	1.44106132803971	1.39551654506553	0.0455447829741844	0.262556503276348	0.70837098736405	0.0918727915194346	0.0918727915194346	0.0450530035335689
sp_k0_gamma	sp_k0	sp	k0	gamma	befa.st	1132	1.44106132803971	1.39558632396116	0.0454750040785524	0.264438357203125	0.718608515121478	0.0980565371024735	0.0954063604240283	0.0468197879858657
sp_k1_gamma	sp_k1	sp	k1	gamma	befa.st	1132	1.44106132803971	1.3953698005902	0.045691527449508	0.263131007114077	0.71094510618614	0.0962897526501767	0.0954063604240283	0.0459363957597173
base_k0_gamma	base_k0	base	k0	gamma	befr.st	524	0.442216609003624	0.404314211974274	0.0379023970293503	0.268564329494633	0.739886598137464	0.0877862595419847	0.0877862595419847	0.0534351145038168
ftp_k0_gamma	ftp_k0	ftp	k0	gamma	befr.st	524	0.442216609003624	0.407219868237596	0.0349967407660277	0.259458958868071	0.74541437856433	0.0877862595419847	0.0877862595419847	0.049618320610687
ftp_k1_gamma	ftp_k1	ftp	k1	gamma	befr.st	524	0.442216609003624	0.407278706019061	0.034937902984563	0.259827079102927	0.746377490491213	0.0916030534351145	0.0896946564885496	0.049618320610687
ftp_sp_k0_gamma	ftp_sp_k0	ftp_sp	k0	gamma	befr.st	524	0.442216609003624	0.413341752049218	0.0288748569544058	0.2270698927949	0.712589418756037	0.0706106870229008	0.0706106870229008	0.0362595419847328
ftp_sp_k1_gamma	ftp_sp_k1	ftp_sp	k1	gamma	befr.st	524	0.442216609003624	0.4140597894704	0.0281568195332244	0.22220415860174	0.705391941203222	0.0706106870229008	0.0706106870229008	0.0362595419847328
ftp_sp_k2_gamma	ftp_sp_k2	ftp_sp	k2	gamma	befr.st	524	0.442216609003624	0.413339514161089	0.0288770948425354	0.223972519584894	0.705117570978181	0.0744274809160305	0.0725190839694656	0.0381679389312977
