model	model_structure	hierarchy	k_depth	family	response	n	elpd_loo	elpd_loo_se	p_loo	looic	looic_se	max_pareto_k	n_pareto_k_gt_0.7	n_pareto_k_gt_1.0
PFT_sp_k0_gamma	PFT_sp_k0	PFT_sp	k0	gamma	befa.st	1132	248.20791300403	32.5340649974604	30.1160142853698	-496.415826008061	65.0681299949208	0.444269361392591	0	0
PFT_sp_k1_gamma	PFT_sp_k1	PFT_sp	k1	gamma	befa.st	1132	248.19680721325	32.8340170292171	32.3268544710737	-496.3936144265	65.6680340584342	0.62759660917305	0	0
PFT_sp_k2_gamma	PFT_sp_k2	PFT_sp	k2	gamma	befa.st	1132	247.746017054014	32.9196781810827	35.5496470061153	-495.492034108028	65.8393563621653	0.470927513393812	0	0
PFT_k1_gamma	PFT_k1	PFT	k1	gamma	befa.st	1132	92.3846701854827	33.0157709146199	11.4608468364167	-184.769340370965	66.0315418292397	0.266753976374995	0	0
PFT_k0_gamma	PFT_k0	PFT	k0	gamma	befa.st	1132	81.9104338172655	32.8614758338131	10.4599500077325	-163.820867634531	65.7229516676262	0.386945417989178	0	0
base_k0_gamma	base_k0	base	k0	gamma	befa.st	1132	20.3922119113104	35.1396735044593	3.95133809758647	-40.7844238226207	70.2793470089187	0.266627625545733	0	0
PFT_sp_k1_gamma	PFT_sp_k1	PFT_sp	k1	gamma	befr.st	524	177.892698550586	25.0850849198551	35.1063940585647	-355.785397101172	50.1701698397102	0.75435652866596	1	0
PFT_sp_k0_gamma	PFT_sp_k0	PFT_sp	k0	gamma	befr.st	524	177.769638346824	25.0205263088188	31.9543971897832	-355.539276693648	50.0410526176377	0.666877014108117	0	0
PFT_sp_k2_gamma	PFT_sp_k2	PFT_sp	k2	gamma	befr.st	524	176.989292862682	25.3454865312758	34.9557627697989	-353.978585725364	50.6909730625517	0.640240062537703	0	0
PFT_k1_gamma	PFT_k1	PFT	k1	gamma	befr.st	524	116.656808163004	23.6226578199414	10.2425131700221	-233.313616326008	47.2453156398829	0.412948039039895	0	0
PFT_k0_gamma	PFT_k0	PFT	k0	gamma	befr.st	524	115.180722231575	23.5074596823637	10.2553220180575	-230.361444463151	47.0149193647274	0.409568949637557	0	0
base_k0_gamma	base_k0	base	k0	gamma	befr.st	524	83.6487479891449	25.9432988148973	4.84246403422538	-167.29749597829	51.8865976297946	0.237028648617791	0	0
