model	model_structure	hierarchy	k_depth	family	response	x	predicted	pred_q05	pred_q95
base_k0_gamma	base_k0	base	k0	gamma	befa.st	0.00753455287049989	2.60471914314307	2.29302828554579	2.9855084290912
base_k0_gamma	base_k0	base	k0	gamma	befa.st	0.0179061225674211	2.49564468225136	2.22428780523457	2.82328654249432
base_k0_gamma	base_k0	base	k0	gamma	befa.st	0.0282776922643423	2.39625827921831	2.15999641140235	2.67891758756069
base_k0_gamma	base_k0	base	k0	gamma	befa.st	0.0386492619612635	2.30568926831795	2.09868993573206	2.54858215552256
base_k0_gamma	base_k0	base	k0	gamma	befa.st	0.0490208316581847	2.22314614662288	2.04255321063948	2.43418829373381
base_k0_gamma	base_k0	base	k0	gamma	befa.st	0.059392401355106	2.14790929264687	1.98983645076918	2.33147337128365
base_k0_gamma	base_k0	base	k0	gamma	befa.st	0.0697639710520272	2.0793243624828	1.94004298496614	2.23860002903819
base_k0_gamma	base_k0	base	k0	gamma	befa.st	0.0801355407489484	2.01679629966804	1.8943167273198	2.15514108749913
base_k0_gamma	base_k0	base	k0	gamma	befa.st	0.0905071104458696	1.95978390108143	1.85284257412088	2.07824996721549
base_k0_gamma	base_k0	base	k0	gamma	befa.st	0.100878680142791	1.90779488666254	1.81353591964139	2.01137832603649
base_k0_gamma	base_k0	base	k0	gamma	befa.st	0.111250249839712	1.86038142570327	1.77678721718454	1.95188045126687
base_k0_gamma	base_k0	base	k0	gamma	befa.st	0.121621819536633	1.81713607694378	1.74271646688403	1.89702459521899
base_k0_gamma	base_k0	base	k0	gamma	befa.st	0.131993389233554	1.77768810375762	1.71142715138314	1.8483551136407
base_k0_gamma	base_k0	base	k0	gamma	befa.st	0.142364958930476	1.7417001293743	1.68218392234266	1.80484150940194
base_k0_gamma	base_k0	base	k0	gamma	befa.st	0.152736528627397	1.70886510040094	1.65497047362901	1.76580854086699
base_k0_gamma	base_k0	base	k0	gamma	befa.st	0.163108098324318	1.67890352990083	1.62938386375529	1.73048214415884
base_k0_gamma	base_k0	base	k0	gamma	befa.st	0.173479668021239	1.65156099399725	1.60604101075483	1.6986569734164
base_k0_gamma	base_k0	base	k0	gamma	befa.st	0.183851237718161	1.6266058584221	1.58452399184652	1.67032322212085
base_k0_gamma	base_k0	base	k0	gamma	befa.st	0.194222807415082	1.60382721364767	1.56486944092614	1.64418159682381
base_k0_gamma	base_k0	base	k0	gamma	befa.st	0.204594377112003	1.58303299924648	1.54682790426024	1.62092152184309
base_k0_gamma	base_k0	base	k0	gamma	befa.st	0.214965946808924	1.56404829994094	1.53001247197617	1.59983508381319
base_k0_gamma	base_k0	base	k0	gamma	befa.st	0.225337516505845	1.54671379744814	1.51459439006597	1.58030355110921
base_k0_gamma	base_k0	base	k0	gamma	befa.st	0.235709086202767	1.53088436371362	1.50039514219698	1.56266330845414
base_k0_gamma	base_k0	base	k0	gamma	befa.st	0.246080655899688	1.51642778247492	1.48750989995189	1.54646208501562
base_k0_gamma	base_k0	base	k0	gamma	befa.st	0.256452225596609	1.50322358731565	1.47581989062999	1.53171676823351
base_k0_gamma	base_k0	base	k0	gamma	befa.st	0.26682379529353	1.49116200547527	1.46509601385097	1.51824355919474
base_k0_gamma	base_k0	base	k0	gamma	befa.st	0.277195364990451	1.48014299768043	1.45525751588341	1.50592722809289
base_k0_gamma	base_k0	base	k0	gamma	befa.st	0.287566934687373	1.47007538516938	1.44642312411602	1.49463402132688
base_k0_gamma	base_k0	base	k0	gamma	befa.st	0.297938504384294	1.46087605590217	1.43845692885821	1.48436905882877
base_k0_gamma	base_k0	base	k0	gamma	befa.st	0.308310074081215	1.45246924269275	1.43109874336157	1.47505692545007
base_k0_gamma	base_k0	base	k0	gamma	befa.st	0.318681643778136	1.44478586667297	1.42447400827659	1.46633763477191
base_k0_gamma	base_k0	base	k0	gamma	befa.st	0.329053213475058	1.43776294010904	1.41854336097413	1.45829271122704
base_k0_gamma	base_k0	base	k0	gamma	befa.st	0.339424783171979	1.43134302314445	1.41307600904345	1.45084493215918
base_k0_gamma	base_k0	base	k0	gamma	befa.st	0.3497963528689	1.42547372954484	1.40787230802253	1.44414892186797
base_k0_gamma	base_k0	base	k0	gamma	befa.st	0.360167922565821	1.42010727697523	1.40326608575621	1.43792716494091
base_k0_gamma	base_k0	base	k0	gamma	befa.st	0.370539492262742	1.41520007775204	1.39900196145837	1.43210466442058
