model	model_structure	hierarchy	k_depth	family	variable	mean	median	sd	q025	q05	q95	q975	prob_gt_0	prob_lt_0	is_best_gamma_model
base_k0_gamma	base_k0	base	k0	gamma	b_y1m1_logL_Intercept	-1.01651919864625	-1.0159494	0.0300135667982116	-1.0774488075	-1.06745566	-0.9680498075	-0.95953834425	0	1	FALSE
base_k0_gamma	base_k0	base	k0	gamma	b_y1m1_logA_Intercept	0.269000684164784	0.268283	0.173462912471622	-0.070250344075	-0.01194527455	0.558161154	0.615906016	0.9425	0.0575	FALSE
base_k0_gamma	base_k0	base	k0	gamma	b_y1m1_logk_Intercept	2.1603924889	2.16200215	0.115467584662556	1.92395602	1.96261135	2.347212995	2.3800692475	1	0	FALSE
base_k0_gamma	base_k0	base	k0	gamma	b_y2_logL_Intercept	-1.70922217755375	-1.50804965	0.668165120025729	-3.349001195	-3.06579054	-0.997232387	-0.96665569075	0	1	FALSE
base_k0_gamma	base_k0	base	k0	gamma	b_y2_logA_Intercept	-1.02362866412625	-1.0060734	0.250401562364594	-1.55264256	-1.45732886	-0.661989503	-0.62459945875	0	1	FALSE
base_k0_gamma	base_k0	base	k0	gamma	b_y2_logk_Intercept	0.0596545101125262	-0.040742849	0.631420003902252	-0.924581622	-0.8132721615	1.18879007	1.3386660775	0.479625	0.520375	FALSE
base_k0_gamma	base_k0	base	k0	gamma	shape_y1m1	2.3169155623375	2.3147318	0.0885653162424932	2.1500283875	2.175333485	2.460720405	2.4907852175	1	0	FALSE
base_k0_gamma	base_k0	base	k0	gamma	shape_y2	3.77958348985	3.77191765	0.224966257916727	3.35533188	3.418791615	4.156317525	4.2269143175	1	0	FALSE
PFT_k0_gamma	PFT_k0	PFT	k0	gamma	b_y1m1_logL_Intercept	-1.317779260372	-1.27349925	0.331647006409355	-2.113549045	-1.91903914	-0.865903214	-0.764885243500001	0.000125	0.999875	FALSE
PFT_k0_gamma	PFT_k0	PFT	k0	gamma	b_y1m1_logA_Intercept	-0.389799225275081	-0.332890165	0.414644106392059	-1.38120886	-1.159389145	0.170636783	0.25128486525	0.152	0.848	FALSE
PFT_k0_gamma	PFT_k0	PFT	k0	gamma	b_y1m1_logk_Intercept	1.6433877849375	1.64906315	0.160957627163874	1.3067211975	1.36917625	1.899196255	1.937048875	1	0	FALSE
PFT_k0_gamma	PFT_k0	PFT	k0	gamma	b_y2_logL_Intercept	-1.83615484686	-1.7154735	0.644414695952834	-3.3413872375	-3.04717216	-1.00532213	-0.91997534125	0.000125	0.999875	FALSE
PFT_k0_gamma	PFT_k0	PFT	k0	gamma	b_y2_logA_Intercept	-0.991291846100156	-0.949305655	0.383390094575326	-1.860627865	-1.68235596	-0.450263565500001	-0.31190769125	0.004875	0.995125	FALSE
PFT_k0_gamma	PFT_k0	PFT	k0	gamma	b_y2_logk_Intercept	0.282168148667954	0.227682285	0.46154718162003	-0.45945632975	-0.363521516	1.114840615	1.253002765	0.6775	0.3225	FALSE
PFT_k0_gamma	PFT_k0	PFT	k0	gamma	sd_h1__y1m1_logL_Intercept	0.618763161105	0.52974501	0.342451508686001	0.248101117	0.271762346	1.27532404	1.533311875	1	0	FALSE
PFT_k0_gamma	PFT_k0	PFT	k0	gamma	sd_h1__y1m1_logA_Intercept	0.67236328710378	0.559964815	0.496269652885948	0.0556528602	0.1081680415	1.608685395	1.9561583425	1	0	FALSE
