model	model_structure	hierarchy	k_depth	family	response	x	predicted_mean	predicted_median	predicted_sd	pred_q025	pred_q05	pred_q10	pred_q25	pred_q50	pred_q75	pred_q90	pred_q95	pred_q975	is_best_gamma_model
base_k0_gamma	base_k0	base	k0	gamma	befa.st	0.00753455287049989	2.60471914314307	2.58656656135932	0.213173288994225	2.23780109379908	2.29302828554579	2.34809841747983	2.45529146622078	2.58656656135932	2.73143599184939	2.87683358733034	2.9855084290912	3.07856003068158	FALSE
base_k0_gamma	base_k0	base	k0	gamma	befa.st	0.0179061225674211	2.49564468225136	2.480884414374	0.185091890985138	2.17425674298608	2.22428780523457	2.27245273824533	2.36600541634948	2.480884414374	2.60594859936789	2.73079579633158	2.82328654249432	2.90427638067401	FALSE
base_k0_gamma	base_k0	base	k0	gamma	befa.st	0.0282776922643423	2.39625827921831	2.3840123624659	0.160627981976209	2.11531534863233	2.15999641140235	2.20177236421673	2.28430445334686	2.3840123624659	2.49222055698714	2.60116209805165	2.67891758756069	2.7511070918654	FALSE
base_k0_gamma	base_k0	base	k0	gamma	befa.st	0.0386492619612635	2.30568926831795	2.29619637544875	0.139359220214023	2.06108332787544	2.09868993573206	2.13658016308794	2.20838098042414	2.29619637544875	2.389394588175	2.48538414765878	2.54858215552256	2.61286352720131	FALSE
base_k0_gamma	base_k0	base	k0	gamma	befa.st	0.0490208316581847	2.22314614662288	2.2157957536186	0.120911561505026	2.00974738087318	2.04255321063948	2.07602017670605	2.1379968520591	2.2157957536186	2.29618453045881	2.37955330812825	2.43418829373381	2.48580011944003	FALSE
base_k0_gamma	base_k0	base	k0	gamma	befa.st	0.059392401355106	2.14790929264687	2.14190485996543	0.104953588968362	1.96095385993096	1.98983645076918	2.01983785000815	2.07412611342322	2.14190485996543	2.21222480765561	2.28416434632741	2.33147337128365	2.37462017230815	FALSE
base_k0_gamma	base_k0	base	k0	gamma	befa.st	0.0697639710520272	2.0793243624828	2.07462851665781	0.0911913750040574	1.91541561544361	1.94004298496614	1.96821859571971	2.01533832175796	2.07462851665781	2.13594949366401	2.19844358441386	2.2386000290382	2.27573848103603	FALSE
base_k0_gamma	base_k0	base	k0	gamma	befa.st	0.0801355407489484	2.01679629966804	2.01307167414525	0.0793637946762883	1.87373257384972	1.8943167273198	1.9195968623594	1.96181678224658	2.01307167414525	2.06703099263059	2.1205507944843	2.15514108749913	2.18609363632575	FALSE
base_k0_gamma	base_k0	base	k0	gamma	befa.st	0.0905071104458696	1.95978390108143	1.95676561284678	0.0692382289028755	1.8339951001649	1.85284257412088	1.87426811754043	1.91229102758788	1.95676561284678	2.00365817710826	2.05004981492719	2.07824996721549	2.10674549395023	FALSE
base_k0_gamma	base_k0	base	k0	gamma	befa.st	0.100878680142791	1.90779488666254	1.90540835286825	0.0606066255688372	1.79785531033575	1.81353591964139	1.83276130320299	1.86584865285697	1.90540835286825	1.94622803717304	1.98669344667812	2.01137832603649	2.0352752285647	FALSE
base_k0_gamma	base_k0	base	k0	gamma	befa.st	0.111250249839712	1.86038142570327	1.85835465994849	0.0532819292880086	1.76339412656104	1.77678721718454	1.79424856201899	1.82380782481412	1.85835465994849	1.89449413307702	1.92993275704933	1.95188045126687	1.97228523720225	FALSE
base_k0_gamma	base_k0	base	k0	gamma	befa.st	0.121621819536633	1.81713607694378	1.81530982306489	0.0470949428110855	1.73089066230702	1.74271646688403	1.75814989342411	1.78490747087168	1.81530982306489	1.84765237291671	1.87902548666683	1.89702459521899	1.91516100506434	FALSE
base_k0_gamma	base_k0	base	k0	gamma	befa.st	0.131993389233554	1.77768810375762	1.77623053386063	0.0418917314602796	1.70015115493924	1.71142715138314	1.72520710042312	1.74913730385976	1.77623053386063	1.80487530995047	1.83220816821631	1.8483551136407	1.8649642153598	FALSE
base_k0_gamma	base_k0	base	k0	gamma	befa.st	0.142364958930476	1.7417001293743	1.74055245870629	0.0375317010154703	1.67170369202381	1.68218392234266	1.69418215016972	1.7161163069388	1.74055245870629	1.76595623171824	1.79058441708975	1.80484150940194	1.81903905912835	FALSE
