sp_code	stand_id	plot	no	age	d	h	Bst	Bbr	Bf	Bcr	wd	Vst	Vst.5	ba	befa.v	befa.st	beft.v	beft.st	bwd	species	PFT	Genus	Family
BP	57	2	1	21	0.068	10.8	10.054	1.65	0.629	NA	0.482	0.020478	0.017685	0.0036316811075498	602.256079695283	1.2266759498707	NA	NA	0.490965914640102	Betula_platyphylla	DBF	Betula	Betulaceae
BP	57	2	2	24	0.091	13.2	21.989	2.706	0.972	9.761	0.583	0.038922	0.032985	0.00650388219109427	659.447099326859	1.16726545090727	910.230717845948	1.61116922097412	0.564950413647808	Betula_platyphylla	DBF	Betula	Betulaceae
BP	58	1	4	26	0.145	16.7	60.724	9.153	0.256	21.504	0.448	0.132851	0.120012	0.0165129963854313	527.907204311597	1.15494697319017	689.772752933738	1.50907384230288	0.457083499559657	Betula_platyphylla	DBF	Betula	Betulaceae
BP	58	1	5	24	0.146	16.5	60.255	9.5	3.156	32.013	0.474	0.124821	0.111508	0.01674154725098	584.12446623565	1.2100406605261	840.595733089785	1.74133266948801	0.48273127118033	Betula_platyphylla	DBF	Betula	Betulaceae
BP	57	2	3	25	0.159	14.5	77.464	25.67	7.144	NA	0.56	0.139181	0.122531	0.0198556509688509	792.335160690037	1.4236032221419	NA	NA	0.55657022151012	Betula_platyphylla	DBF	Betula	Betulaceae
BP	50	5	4	11	0.034	4.1	0.76	0.537	0.233	NA	0.397	0.002039	0.001601	0.00090792027688745	750.367827366356	2.01315789473684	NA	NA	0.372731731240804	Betula_platyphylla	DBF	Betula	Betulaceae
BP	51	4	1	23	0.079	10.2	16.358	1.21	0.215	NA	0.586	0.027831	0.022246	0.00490166993776347	638.963745463692	1.087113339039	NA	NA	0.58776184829866	Betula_platyphylla	DBF	Betula	Betulaceae
BP	58	1	2	20	0.116	14.3	33.173	5.666	2.439	21.085	0.443	0.073427	0.065078	0.0105683176866761	562.163781715173	1.24432520423236	849.319732523459	1.87993247520574	0.451782042028137	Betula_platyphylla	DBF	Betula	Betulaceae
BP	50	5	5	14	0.042	4.3	1.812	0.819	0.585	0.622	0.518	0.003509	0.003022	0.0013854423602331	916.500427472214	1.77483443708609	1093.75890567113	2.11810154525386	0.516386434881733	Betula_platyphylla	DBF	Betula	Betulaceae
BP	50	5	3	10	0.028	3.6	0.748	0.378	0.273	0.513	0.414	0.001664	0.001383	0.0006157521601036	840.745192307692	1.87032085561497	1149.03846153846	2.55614973262032	0.449519230769231	Betula_platyphylla	DBF	Betula	Betulaceae
BP	58	1	3	26	0.132	16.6	53.224	9.884	3.501	NA	0.463	0.110352	0.09707	0.0136847775990371	603.604828186168	1.25148429280024	NA	NA	0.482311149775265	Betula_platyphylla	DBF	Betula	Betulaceae
