sp_code	stand_id	latitude	longitude	altitude	slope	azimuth	ft1.forest_type	ft1.dominant_prop	ft2.richness	ft2.shannon	ft2.simpson	ft2.evenness	ft3.richness	ft3.shannon	ft3.simpson	ft3.evenness	fml.richness	fml.shannon	fml.simpson	fml.evenness	gns.richness	gns.shannon	gns.simpson	gns.evenness	sp.richness	sp.shannon	sp.simpson	sp.evenness	Gini_DBH	RaoQ_DBH	plot_size	m.d	med.d	sd.d	n.d	m.h	med.h	sd.h	n.h	wb.shape	wb.scale	se.shape	se.scale	species.1	sp_ba.1	sp_n.1	species.2	sp_ba.2	sp_n.2	species.3	sp_ba.3	sp_n.3	species	std	sp_ba.ha.1	sp_std.1	sp_m.d.1	sp_ba.ha.2	sp_std.2	sp_m.d.2	sp_ba.ha.3	sp_std.3	sp_m.d.3	dist.mmd	sdi	sdi.1	sdi.2	sdi.3
BP	58	37.58	128.1	374	20	60	mono_B	1	1	0	0	NA	1	0	0	NA	1	0	0	NA	1	0	0	NA	1	0	0	NA	0.150976764433804	0	0.04	0.137773789311598	0.13	0.0359415189503565	47	15.9297872340425	15.9	1.84660851217165	47	4.07579993208882	0.14669008560251	0.454026839170573	0.00555345730412504	Betula_platyphylla	0.700681975900746	47	NA	NA	NA	NA	NA	NA	Betula_platyphylla	1175	17.5170493975186	1175	0.137773789311598	NA	NA	NA	NA	NA	NA	-0.007773789311598	178.136054548469	178.136054548469	NA	NA
BP	57	37.58	128.1	372	30	105	mono_B	1	1	0	0	NA	1	0	0	NA	1	0	0	NA	1	0	0	NA	1	0	0	NA	0.178757600657355	0	0.04	0.127643331200655	0.11	0.0388866747021104	50	13.818	13.5	1.62175138385031	50	3.42231113919119	0.135638553058107	0.370084992427877	0.00593840602423387	Betula_platyphylla	0.63981754522826	50	NA	NA	NA	NA	NA	NA	Betula_platyphylla	1250	15.9954386307065	1250	0.127643331200655	NA	NA	NA	NA	NA	NA	-0.0176433312006546	167.644216484202	167.644216484202	NA	NA
BP	51	37.71	128.43	872	20	25	mono_B	1	1	0	0	NA	1	0	0	NA	5	0.544667854351215	0.2367364924276	0.338421165640036	5	0.544667854351215	0.2367364924276	0.338421165640036	6	0.684880529663977	0.291937948768572	0.382239101523512	0.169670047215936	0.00762112258709078	0.04	0.133347519570518	0.126	0.0386838341480035	41	13.2048780487805	13.3	1.8525592054658	41	3.63033738661669	0.141819569797952	0.432598093535604	0.00645576294684052	Betula_platyphylla	0.479572757950279	32	Prunus_sargentii	0.0328178622575624	2	Styrax_obassia	0.0238462590370733	4	Betula_platyphylla	1025	11.989318948757	800	0.138136142084539	0.820446556439059	50	0.144542381328107	0.596156475926833	100	0.08712347559642	-0.00734751957051827	147.460689724427	121.796498785468	8.18679419893565	7.26555086863689
BP	52	37.7	128.43	914	7	230	mono_B	1	1	0	0	NA	1	0	0	NA	4	0.213300055803897	0.087436056654252	0.153863466364811	4	0.213300055803897	0.087436056654252	0.153863466364811	4	0.213300055803897	0.087436056654252	0.153863466364811	0.14861219448778	0.00309273509218296	0.04	0.186549004955802	0.185500673853223	0.0487172449926863	32	17.896875	18.15	1.29601980644961	32	4.36903220397209	0.197983144994587	0.614084570156543	0.00840539455036859	Betula_platyphylla	0.834888457867612	29	Tilia_amurensis	0.0320473866592695	1	Cornus_walteri	0.0038484510006475	1	Betula_platyphylla	800	20.8722114466903	725	0.191456576511895	0.801184666481737	25	0.202	0.0962112750161874	25	0.07	-0.00104833110257893	197.271440017738	186.385612150818	7.00455453266257	1.27842109138289
BP	50	37.71	128.43	862	2	260	mono_B	1	1	0	0	NA	1	0	0	NA	1	0	0	NA	1	0	0	NA	1	0	0	NA	0.20132195398526	0	0.04	0.0185893656731216	0.016	0.00649998983036263	62	3.08387096774194	3	0.44323458925328	62	2.84655457925144	0.01959731672942	0.265579704146114	0.000918031568179197	Betula_platyphylla	0.0168271556507903	62	NA	NA	NA	NA	NA	NA	Betula_platyphylla	1550	0.420678891269758	1550	0.0185893656731216	NA	NA	NA	NA	NA	NA	-0.00258936567312162	9.43741163024004	9.43741163024004	NA	NA
CJ	39	35.46	126.8	218	15	45	mono_N	0.892502015587208	2	0.341252083349211	0.191884335519959	0.492322688340934	2	0.341252083349211	0.191884335519959	0.492322688340934	2	0.341252083349211	0.191884335519959	0.492322688340934	3	0.86189996035507	0.505961031908426	0.784535153343301	3	0.86189996035507	0.505961031908426	0.784535153343301	0.122310830860535	0.0178212032527794	0.04	0.215667568261897	0.22	0.0471057492553003	32	16.00625	16.4	1.65781385390325	32	4.78168125240015	0.22942319841249	0.625606789336543	0.00899185820458769	Cryptomeria_japonica	0.761522059230166	21	Chamaecyparis_obtusa	0.281800861027004	9	Quercus_variabilis	0.125663706143592	2	Cryptomeria_japonica	800	19.0380514807541	525	0.214875379165293	7.04502152567511	225	0.199666388424959	3.14159265358979	50	0.282842712474619	0.00433243173810299	248.981008513434	162.431573152375	61.8761875263984	24.0464673237978
CJ	157	33.34	126.68	10	5	342	mono_N	1	1	0	0	NA	1	0	0	NA	1	0	0	NA	1	0	0	NA	1	0	0	NA	0.138833859656055	0	0.04	0.180890377762675	0.181	0.0432683742125992	73	13.4219178082192	13.7	1.20211001707443	73	4.69947856882517	0.192258522788553	0.433115585626574	0.00504123817152536	Cryptomeria_japonica	1.87604682078646	73	NA	NA	NA	NA	NA	NA	Cryptomeria_japonica	1825	46.9011705196615	1825	0.180890377762675	NA	NA	NA	NA	NA	NA	0.000109622237324941	428.31793042888	428.31793042888	NA	NA
CJ	110	35.16	128.1	64	25	130	mono_N	1	1	0	0	NA	1	0	0	NA	1	0	0	NA	1	0	0	NA	1	0	0	NA	0.0586672516330312	0	0.04	0.153315913168755	0.15	0.0222041467462728	52	14.5519230769231	14.5	1.18528401239756	52	6.07069435543808	0.161056589498295	0.52882400224764	0.0039021686969328	Cryptomeria_japonica	0.959992175120701	52	NA	NA	NA	NA	NA	NA	Cryptomeria_japonica	1300	23.9998043780175	1300	0.153315913168755	NA	NA	NA	NA	NA	NA	-0.00331591316875504	233.971213257221	233.971213257221	NA	NA
CJ	82	33.34	126.65	475	4	262	mono_N	1	1	0	0	NA	1	0	0	NA	1	0	0	NA	1	0	0	NA	1	0	0	NA	0.105315330339762	0	0.04	0.29540930854404	0.298	0.054502416584093	47	18.431914893617	18.7	1.1747536990659	47	5.82361220988585	0.31295123521829	0.634534679562496	0.00829375531238355	Cryptomeria_japonica	3.22133648531403	47	NA	NA	NA	NA	NA	NA	Cryptomeria_japonica	1175	80.5334121328507	1175	0.29540930854404	NA	NA	NA	NA	NA	NA	0.00259069145595953	605.92690004337	605.92690004337	NA	NA
CJ	1022	34.77	128	389	30	135	mono_N	1	1	0	0	NA	1	0	0	NA	1	0	0	NA	1	0	0	NA	1	0	0	NA	0.102137981472453	0	0.06	0.260607031754709	0.252007936382964	0.0473707079782324	40	NA	NA	NA	0	5.58781359463637	0.276342798252601	0.642559171486227	0.00830356862755124	Cryptomeria_japonica	2.13364485201021	40	NA	NA	NA	NA	NA	NA	Cryptomeria_japonica	666.666666666667	35.5607475335035	666.666666666667	0.260607031754709	NA	NA	NA	NA	NA	NA	-0.00859909537174519	281.137024047319	281.137024047319	NA	NA
CJ	1023	34.77	128	298	15	45	mono_N	1	1	0	0	NA	1	0	0	NA	1	0	0	NA	1	0	0	NA	1	0	0	NA	0.146026458091927	0	0.06	0.334153033803376	0.313	0.0859463980241949	16	NA	NA	NA	0	4.25895608761903	0.355809055020808	0.815978961187408	0.0220941517542672	Cryptomeria_japonica	1.40313895165077	16	NA	NA	NA	NA	NA	NA	Cryptomeria_japonica	266.666666666667	23.3856491941795	266.666666666667	0.334153033803376	NA	NA	NA	NA	NA	NA	-0.0211530338033758	167.591765855153	167.591765855153	NA	NA
CJ	85	33.33	126.71	10	0	185	mono_N	1	1	0	0	NA	1	0	0	NA	1	0	0	NA	1	0	0	NA	1	0	0	NA	0.10536090574663	0	0.04	0.13691102815197	0.132	0.0260883487094715	108	9.38055555555555	9.4	0.623894661210211	108	5.07439188763396	0.145226997679106	0.336291019698953	0.00292151011849965	Cryptomeria_japonica	1.58997574994506	108	NA	NA	NA	NA	NA	NA	Cryptomeria_japonica	2700	39.7493937486266	2700	0.13691102815197	NA	NA	NA	NA	NA	NA	-0.00491102815197039	405.22759438778	405.22759438778	NA	NA
CJ	111	34.7	126.96	152	15	300	mono_N	1	1	0	0	NA	1	0	0	NA	1	0	0	NA	1	0	0	NA	1	0	0	NA	0.193885959129864	0	0.04	0.188019550449817	0.170293863659264	0.0630133122986081	74	15.6864864864865	15.7	1.23735514711374	74	3.0050161704061	0.198422597795067	0.259021185419154	0.00811673157484444	Cryptomeria_japonica	2.05460159544773	74	NA	NA	NA	NA	NA	NA	Cryptomeria_japonica	1850	51.3650398861931	1850	0.188019550449817	NA	NA	NA	NA	NA	NA	-0.0177256867905532	461.975690764425	461.975690764426	NA	NA
CJ	109	34.96	127.31	385	15	270	mono_N	1	1	0	0	NA	1	0	0	NA	1	0	0	NA	1	0	0	NA	1	0	0	NA	0.130434782608695	0	0.04	0.265788408815865	0.26	0.0677708298273975	23	18.3391304347826	18.6	2.81501479576844	23	4.23821148162205	0.281066769352632	0.65652405081154	0.0144932664327663	Cryptomeria_japonica	1.27611493588817	23	NA	NA	NA	NA	NA	NA	Cryptomeria_japonica	575	31.9028733972043	575	0.265788408815865	NA	NA	NA	NA	NA	NA	-0.00578840881586534	250.264787645011	250.264787645011	NA	NA
CJ	38	34.36	126.56	166	10	270	mono_N	1	1	0	0	NA	1	0	0	NA	1	0	0	NA	1	0	0	NA	1	0	0	NA	0.16289592760181	0	0.01	0.246683889170879	0.23	0.0703353312605365	17	15.8117647058824	15.5	3.95725320660385	17	3.78012485051553	0.262519126544278	0.70069692323616	0.0178233162392394	Cryptomeria_japonica	0.81249440003466	17	NA	NA	NA	NA	NA	NA	Cryptomeria_japonica	1700	81.249440003466	1700	0.246683889170879	NA	NA	NA	NA	NA	NA	-0.0166838891708792	656.42701857077	656.42701857077	NA	NA
CJ	112	34.34	126.59	67	15	300	mono_N	1	1	0	0	NA	1	0	0	NA	1	0	0	NA	1	0	0	NA	1	0	0	NA	0.224687500000001	0	0.04	0.113912246927185	0.0905538513813742	0.050408939926265	50	7.712	7.45	1.4389111529634	50	2.14733570506583	0.115921612160663	0.201380945278844	0.00813039022200524	Cryptomeria_japonica	0.509566328412265	50	NA	NA	NA	NA	NA	NA	Cryptomeria_japonica	1250	12.7391582103066	1250	0.113912246927185	NA	NA	NA	NA	NA	NA	-0.023358395545811	139.655196016825	139.655196016825	NA	NA
