ext_no	sp	dbh	h	plot_size
1	붉가시나무	10.6	9.2	0.04
1	붉가시나무	12.8	9.9	0.04
1	붉가시나무	13.5	10.1	0.04
1	붉가시나무	24.7	12.9	0.04
1	붉가시나무	7	7.8	0.04
1	붉가시나무	8	8.2	0.04
1	붉가시나무	11.3	9.4	0.04
1	붉가시나무	12	9.7	0.04
1	붉가시나무	7.5	8	0.04
1	붉가시나무	8.6	8.5	0.04
1	붉가시나무	8	8.2	0.04
1	붉가시나무	8	8.2	0.04
1	붉가시나무	9	8.6	0.04
1	붉가시나무	11.4	9.5	0.04
1	붉가시나무	12.4	9.8	0.04
1	붉가시나무	21.5	12.2	0.04
1	붉가시나무	9.5	8.8	0.04
1	붉가시나무	7.8	8.1	0.04
1	붉가시나무	7.5	8	0.04
1	붉가시나무	20.5	12	0.04
1	붉가시나무	16.3	10.9	0.04
1	붉가시나무	11.6	9.5	0.04
1	붉가시나무	8.1	8.3	0.04
1	붉가시나무	20.8	12	0.04
1	붉가시나무	6	7.3	0.04
1	붉가시나무	24.3	12.8	0.04
1	붉가시나무	7.9	8.2	0.04
1	붉가시나무	20.5	12	0.04
1	붉가시나무	20.8	12	0.04
1	붉가시나무	12.4	9.8	0.04
1	붉가시나무	16.3	10.9	0.04
1	붉가시나무	23	12.5	0.04
1	붉가시나무	15.2	10.6	0.04
1	붉가시나무	7.4	8	0.04
1	붉가시나무	19.6	11.8	0.04
1	붉가시나무	9.8	8.9	0.04
1	붉가시나무	15.4	10.7	0.04
1	붉가시나무	18.4	11.5	0.04
1	붉가시나무	20.7	12	0.04
1	붉가시나무	21.8	12.3	0.04
1	붉가시나무	9	8.6	0.04
1	붉가시나무	9.6	8.8	0.04
1	붉가시나무	7.4	8	0.04
1	붉가시나무	16.6	11	0.04
1	붉가시나무	6	7.3	0.04
1	붉가시나무	7.5	8	0.04
1	붉가시나무	7.8	8.1	0.04
1	붉가시나무	9.5	8.8	0.04
1	붉가시나무	8.7	8.5	0.04
1	붉가시나무	13.1	10	0.04
1	붉가시나무	12.6	9.9	0.04
1	붉가시나무	16.3	10.9	0.04
1	붉가시나무	19	11.6	0.04
1	붉가시나무	7.3	7.9	0.04
1	붉가시나무	12.6	9.9	0.04
1	붉가시나무	18.5	11.5	0.04
1	붉가시나무	8.3	8.3	0.04
1	붉가시나무	6	7.3	0.04
1	붉가시나무	7.5	8	0.04
1	붉가시나무	11.3	9.4	0.04
1	붉가시나무	6.9	7.8	0.04
1	붉가시나무	12.5	9.8	0.04
1	붉가시나무	9.9	9	0.04
1	붉가시나무	7.2	7.9	0.04
1	붉가시나무	27	13.4	0.04
1	붉가시나무	18.8	11.6	0.04
1	붉가시나무	8	8.2	0.04
1	붉가시나무	8.8	8.5	0.04
1	붉가시나무	12.7	9.9	0.04
1	붉가시나무	9.8	8.9	0.04
1	붉가시나무	15.3	10.7	0.04
1	붉가시나무	11.3	9.4	0.04
1	붉가시나무	19.5	11.7	0.04
1	붉가시나무	8.5	8.4	0.04
1	붉가시나무	9.4	8.8	0.04
1	붉가시나무	18.5	11.5	0.04
1	붉가시나무	37.4	15.2	0.04
1	붉가시나무	8.6	8.5	0.04
1	붉가시나무	9.5	8.8	0.04
2	붉가시나무	8.8	9.5	0.02
2	붉가시나무	8.1	9.3	0.02
2	붉가시나무	8.8	9.5	0.02
2	붉가시나무	8.3	9.4	0.02
2	붉가시나무	9.4	9.7	0.02
2	붉가시나무	6.1	8.7	0.02
2	붉가시나무	14.6	10.9	0.02
2	붉가시나무	6	8.6	0.02
2	붉가시나무	10.4	10	0.02
2	붉가시나무	9	9.6	0.02
2	붉가시나무	17.1	11.3	0.02
2	붉가시나무	11	10.1	0.02
2	붉가시나무	12.9	10.5	0.02
2	붉가시나무	6	8.6	0.02
2	붉가시나무	9.4	9.7	0.02
2	붉가시나무	15.8	11.1	0.02
2	붉가시나무	6.6	8.9	0.02
2	붉가시나무	13.2	10.6	0.02
2	붉가시나무	9	9.6	0.02
2	붉가시나무	11.6	10.2	0.02
2	붉가시나무	11.8	10.3	0.02
2	붉가시나무	14.1	10.8	0.02
2	붉가시나무	8.6	9.5	0.02
2	붉가시나무	11.5	10.2	0.02
2	붉가시나무	15.6	11.1	0.02
2	붉가시나무	20.5	11.9	0.02
2	붉가시나무	6.5	8.8	0.02
2	붉가시나무	13.7	10.7	0.02
2	붉가시나무	15.6	11.1	0.02
2	붉가시나무	11.5	10.2	0.02
2	붉가시나무	9.4	9.7	0.02
2	붉가시나무	7.8	9.2	0.02
2	붉가시나무	10.6	10	0.02
2	붉가시나무	18	11.5	0.02
2	붉가시나무	19.6	11.7	0.02
2	붉가시나무	10	9.9	0.02
2	붉가시나무	8.1	9.3	0.02
2	붉가시나무	11	10.1	0.02
2	붉가시나무	9.9	9.8	0.02
2	붉가시나무	11.6	10.2	0.02
2	붉가시나무	6.5	8.8	0.02
2	붉가시나무	12.5	10.4	0.02
2	붉가시나무	11.9	10.3	0.02
2	붉가시나무	16.7	11.3	0.02
2	붉가시나무	16.9	11.3	0.02
2	붉가시나무	8	9.3	0.02
2	붉가시나무	11.8	10.3	0.02
2	붉가시나무	6.9	9	0.02
2	붉가시나무	13.2	10.6	0.02
2	붉가시나무	6.5	8.8	0.02
2	붉가시나무	8.3	9.4	0.02
2	붉가시나무	11	10.1	0.02
2	붉가시나무	13.7	10.7	0.02
2	붉가시나무	15.3	11	0.02
2	붉가시나무	9.9	9.8	0.02
2	붉가시나무	8.3	9.4	0.02
2	붉가시나무	7.6	9.2	0.02
3	붉가시나무	6	7	0.02
3	붉가시나무	11	9	0.02
3	붉가시나무	22.3	12	0.02
3	붉가시나무	13.4	9.7	0.02
3	붉가시나무	6.6	7.3	0.02
3	붉가시나무	15	10.2	0.02
3	붉가시나무	7.2	7.5	0.02
3	붉가시나무	20.7	11.7	0.02
3	붉가시나무	27	13	0.02
3	붉가시나무	6.7	7.3	0.02
3	붉가시나무	6	7	0.02
