ext_no	lati.	long.	alti.	slope	azimuth
1	33.34	126.67	189	0	18
2	33.34	126.67	150	15	24
3	33.34	126.67	400	15	52
4	33.29	126.70	150	0	240
5	35.09	127.55	502	35	235
6	34.38	126.68	180	15	340
7	34.38	126.68	171	20	305
8	37.77	128.02	273	10	20
9	37.81	127.89	510	29	315
10	37.81	127.89	507	32	285
11	37.70	128.07	326	0	35
12	37.80	127.89	356	34	255
13	35.98	127.67	450	16	130
14	33.33	126.46	450	5	150
15	33.33	126.45	400	0	135
16	33.34	126.46	400	0	135
17	33.35	126.66	3	3	3
18	33.36	126.63	450	10	135
19	33.36	126.65	450	0	135
20	33.32	126.54	500	6	150
21	33.37	126.65	350	5	150
22	33.38	126.41	350	5	150
23	33.32	126.47	250	0	135
24	33.35	126.67	350	0	123
25	33.29	126.56	550	0	150
26	37.09	129.15	540	22	30
27	37.09	129.15	566	15	30
28	37.22	129.30	308	20	218
29	35.23	128.23	82	5	160
30	36.48	126.81	260	10	270
31	36.46	126.75	205	15	25
32	36.46	126.75	172	10	25
33	34.36	126.68	277	5	350
34	34.36	126.68	272	10	260
35	34.36	126.68	277	10	230
36	34.36	126.65	203	20	300
37	35.73	127.74	950	15	225
38	34.36	126.56	166	10	270
39	35.46	126.80	218	15	45
40	37.00	128.80	626	15	35
41	37.00	128.82	638	6	0
42	36.89	128.74	683	24	105
43	37.00	128.80	634	13	33
44	36.90	128.82	611	3	350
45	37.00	128.82	572	0	50
46	34.36	126.68	314	15	200
47	34.36	126.68	268	15	200
48	34.36	126.68	292	10	200
49	34.35	126.68	402	5	200
50	37.71	128.43	862	2	260
51	37.71	128.43	872	20	25
52	37.70	128.43	914	7	230
53	37.26	126.92	92	8	300
54	37.25	126.97	72	3	20
55	34.55	126.86	117	5	0
56	34.55	126.86	170	8	330
57	37.58	128.10	372	30	105
58	37.58	128.10	374	20	60
59	34.55	126.86	137	3	320
60	34.75	128.03	200	15	270
61	37.57	127.64	251	27.9	43
62	37.71	128.32	890	45	80
63	37.71	128.32	890	45	80
64	37.74	128.35	810	13.5	210
65	37.71	128.33	748	16.2	195
66	37.48	128.50	1049	13.5	10
67	37.47	128.53	1099	22.5	90
68	35.03	127.61	139	9	45
69	37.31	127.28	332	27	90
70	37.31	127.28	400	18	352
71	37.00	126.39	54	18	42
72	37.46	128.48	778	12.6	190
73	37.00	126.40	62	12.2	35
74	37.79	127.86	330	42	53
75	35.92	127.68	624	45	270
76	35.86	127.13	76	10	45
77	35.80	127.30	32	30	320
78	35.35	127.91	403	20	225
79	35.37	127.85	469	50	315
80	34.78	128.00	293	30	315
81	36.59	127.88	540	15	280
82	33.34	126.65	475	4	262
83	33.36	126.64	515	0	195
84	33.33	126.65	410	28	156
85	33.33	126.71	10	0	185
86	37.51	127.69	178	23	330
87	37.78	127.83	525	10	8
88	37.79	127.83	601	18	8
89	37.70	128.07	366	25	10
90	37.70	128.07	337	37	330
91	37.51	127.69	190	30	3
92	37.80	127.89	361	31	283
93	37.80	127.89	358	47	277
94	37.80	127.89	357	28	258
95	34.95	127.02	425	25	180
96	34.94	127.04	430	45	45
97	35.53	127.05	300	25	315
98	35.38	126.74	488	20	135
