ext_no	sp	plot	no	age	dbh	h	Mst	br	leaf	cr	wd	Vst	Vst.5
28	PDe	1	1	11	0.049	3.620	1.252	1.520	1.041	1.115	0.268	0.004811	0.003899
28	PDe	1	2	10	0.038	3.500	1.707	1.716	1.334	NA	0.563	0.003234	0.002504
28	PDe	1	3	12	0.052	4.630	2.114	1.430	1.214	1.27	0.350	0.006307	0.004916
28	PDe	1	4	10	0.048	4.420	1.778	1.662	1.122	1.198	0.378	0.004714	0.003792
28	PDe	1	5	10	0.064	4.670	3.864	3.001	2.943	NA	0.410	0.009363	0.007777
27	PDe	2	1	48	0.282	23.750	337.871	21.566	9.459	NA	0.471	0.736938	0.691059
27	PDe	2	2	41	0.282	22.600	295.662	51.644	13.757	146.548	0.449	0.663766	0.628568
27	PDe	2	3	47	0.282	24.370	347.158	44.867	15.153	NA	0.452	0.797777	0.736685
27	PDe	2	4	48	0.313	24.900	382.376	32.237	5.514	67.634	0.479	0.814996	0.757049
27	PDe	2	5	48	0.317	23.900	385.238	37.359	12.789	110.352	0.424	0.929696	0.874973
26	PDe	3	1	38	0.178	18.800	107.254	10.260	3.164	49.84	0.457	0.241166	0.222222
26	PDe	3	2	43	0.204	21.400	125.638	11.192	5.392	NA	0.431	0.308028	0.269970
26	PDe	3	3	47	0.199	19.870	148.458	9.759	3.286	42.284	0.447	0.334342	0.309147
26	PDe	3	4	46	0.236	17.900	151.308	37.351	11.046	NA	0.369	0.421094	0.382136
26	PDe	3	5	42	0.252	22.730	249.924	23.504	6.464	98.396	0.476	0.534713	0.502338
42	PDe	4	1	9	0.058	5.500	3.935	1.359	1.288	NA	0.509	0.007784	0.006642
42	PDe	4	2	10	0.079	4.800	4.516	2.296	1.780	1.962	0.416	0.012284	0.009021
42	PDe	4	3	10	0.069	5.100	3.042	4.785	4.109	NA	0.305	0.010203	0.008617
42	PDe	4	4	10	0.082	6.000	5.852	1.786	1.638	1.953	0.377	0.016204	0.013743
42	PDe	4	5	11	0.091	5.600	5.948	2.607	2.439	NA	0.328	0.019252	0.015812
45	PDe	5	1	24	0.142	10.000	26.463	9.207	2.918	NA	0.386	0.068086	0.058846
45	PDe	5	2	35	0.181	17.500	110.342	13.847	3.141	25.211	0.518	0.219384	0.191785
45	PDe	5	3	27	0.120	14.500	33.568	6.649	2.257	NA	0.412	0.082077	0.074905
45	PDe	5	4	36	0.154	15.400	71.859	18.135	5.830	13.2	0.511	0.141414	0.128593
45	PDe	5	5	30	0.182	17.500	93.653	21.445	6.267	NA	0.444	0.220488	0.185965
41	PDe	6	1	29	0.211	13.200	93.916	38.576	13.339	NA	0.467	0.201916	0.165946
41	PDe	6	2	34	0.228	14.500	124.833	25.777	14.907	62.13	0.437	0.287428	0.262266
41	PDe	6	3	29	0.242	13.000	128.104	97.583	20.225	NA	0.500	0.253699	0.230434
41	PDe	6	4	32	0.268	13.700	130.195	33.738	42.800	82.077	0.344	0.378809	0.346707
41	PDe	6	5	34	0.274	15.900	182.356	57.184	23.665	NA	0.406	0.445578	0.414167
44	PDe	7	1	20	0.135	13.650	48.285	9.462	4.611	NA	0.382	0.126458	0.111140
44	PDe	7	2	27	0.165	12.200	42.742	13.203	7.695	25.264	0.376	0.115421	0.104643
44	PDe	7	3	29	0.183	13.900	49.720	15.757	9.292	NA	0.529	0.099121	0.083201
44	PDe	7	4	30	0.190	10.750	54.946	17.056	11.615	27.041	0.410	0.136606	0.121931
44	PDe	7	5	31	0.249	13.800	128.299	34.070	17.911	NA	0.520	0.269204	0.229199
40	PDe	8	1	45	0.208	14.300	107.390	61.422	19.462	NA	0.517	0.202960	0.186280
40	PDe	8	2	44	0.275	16.600	201.765	84.788	16.290	54.289	0.481	0.412051	0.375105
40	PDe	8	3	47	0.293	16.600	205.463	42.507	11.305	NA	0.468	0.459270	0.402692
40	PDe	8	4	40	0.315	18.800	245.095	69.260	24.168	100.1	0.390	0.613969	0.575552
40	PDe	8	5	46	0.348	17.900	327.733	122.478	20.538	NA	0.464	0.679572	0.629448
43	PDe	9	1	76	0.390	17.800	391.220	137.333	32.398	NA	0.436	0.958368	0.795288
43	PDe	9	2	66	0.454	19.900	578.429	144.441	17.930	137.924	0.477	1.283243	1.097211
43	PDe	9	3	65	0.498	19.800	637.357	199.106	55.998	NA	0.378	1.682218	1.543037
43	PDe	9	4	73	0.488	21.800	661.227	179.540	39.279	181.668	0.454	1.540127	1.331668
43	PDe	9	5	73	0.521	22.900	812.075	219.893	66.903	NA	0.418	2.057725	1.784201
155	PDe	10	1	19	0.058	4.600	3.076	2.804	1.417	NA	0.450	0.007381	0.007617
155	PDe	10	2	16	0.077	7.000	7.764	3.776	1.540	3.661	0.416	0.019426	0.052075
155	PDe	10	3	13	0.093	6.000	7.889	5.355	2.904	NA	0.421	0.019643	0.103168
155	PDe	10	4	19	0.127	7.720	16.500	12.204	5.502	10.119	0.410	0.044163	0.154636
155	PDe	10	5	16	0.134	7.270	21.041	9.615	6.061	NA	0.395	0.055834	0.373051
148	PDe	11	1	25	0.147	14.800	54.777	9.400	6.917	NA	0.476	0.121175	0.067396
148	PDe	11	2	25	0.175	15.200	95.654	21.198	17.131	18.43	0.503	0.196697	0.091863
148	PDe	11	3	24	0.184	15.200	80.194	25.483	16.702	NA	0.410	0.197091	0.138843
148	PDe	11	4	27	0.199	15.660	107.180	30.257	26.355	21.101	0.422	0.252987	0.198481
148	PDe	11	5	32	0.243	15.100	162.926	11.795	23.414	NA	0.506	0.331038	0.298795
145	PDe	12	1	16	0.139	13.900	41.067	8.520	5.009	NA	0.453	0.092987	0.062440
145	PDe	12	2	24	0.164	15.350	67.911	15.630	8.891	32.095	0.396	0.171702	0.109546
145	PDe	12	3	24	0.191	14.770	73.869	21.193	14.860	NA	0.370	0.203155	0.198355
145	PDe	12	4	35	0.211	15.200	94.090	21.821	11.706	36.189	0.418	0.233666	0.500140
145	PDe	12	5	26	0.238	17.370	148.133	41.967	19.482	NA	0.423	0.357579	0.327612
143	PDe	13	1	34	0.205	14.100	88.582	14.654	16.782	NA	0.409	0.222967	0.111576
143	PDe	13	2	37	0.253	18.700	195.003	63.714	31.611	94.729	0.406	0.484393	0.111204
143	PDe	13	3	35	0.256	18.400	164.593	60.813	35.807	NA	0.363	0.452492	0.182055
143	PDe	13	4	35	0.322	17.700	227.679	77.596	54.531	93.91	0.370	0.635454	0.253252
143	PDe	13	5	35	0.368	18.300	303.349	146.557	92.388	NA	0.347	0.883259	0.065021
139	PDe	14	1	36	0.203	18.250	95.357	7.752	6.308	NA	0.370	0.257762	0.030032
139	PDe	14	2	35	0.233	14.800	123.694	39.223	20.741	57.211	0.418	0.302455	0.086159
139	PDe	14	3	36	0.269	18.200	193.343	38.026	30.338	NA	0.459	0.440419	0.348103
139	PDe	14	4	38	0.317	20.070	253.772	45.881	35.822	113.067	0.393	0.659363	0.221308
139	PDe	14	5	39	0.320	20.350	338.654	105.133	61.958	NA	0.439	0.762775	0.167753
138	PDe	15	1	73	0.351	21.200	352.126	67.281	38.301	NA	0.485	0.788216	0.230393
138	PDe	15	2	72	0.387	21.200	456.648	74.657	37.048	153.092	0.455	1.021694	0.262732
138	PDe	15	3	75	0.453	22.400	705.757	149.921	58.425	NA	0.455	1.620460	0.392311
138	PDe	15	4	73	0.536	24.600	918.117	183.488	104.429	286.371	0.400	2.333769	0.588389
138	PDe	15	5	82	0.590	24.980	1017.366	185.059	63.589	NA	0.374	2.721520	0.713733
36	CS	1	1	15	0.051	6.900	3.915	0.451	0.134	NA	0.520	0.008365	0.006897
36	CS	1	2	13	0.058	3.900	4.790	1.682	1.652	3.89	0.694	0.007164	0.006326
36	CS	1	3	27	0.078	7.200	12.406	2.343	0.689	NA	0.618	0.020951	0.018389
36	CS	1	4	25	0.085	4.700	9.074	7.001	2.363	21.47	0.627	0.014586	0.012584
36	CS	1	5	28	0.106	6.400	19.909	7.289	3.491	NA	0.580	0.035029	0.030098
35	CS	2	1	23	0.122	9.200	30.962	10.489	2.623	NA	0.522	0.059950	0.055424
35	CS	2	2	38	0.135	12.300	48.578	10.142	2.910	NA	0.548	0.090199	0.086275
35	CS	2	3	40	0.165	13.400	92.466	16.764	5.837	60.952	0.556	0.176329	0.163335
